##卡牌表																																						
##[SC]卡牌编号	[C]卡牌名称	[C]小卡牌图片	[C]大卡牌图片	[C]职业图标	[C]职业底框	[SC]星级	[SC]职业	[C]小卡牌边框	[C]大卡牌边框	[C]职业图标(按钮）	[C]获得来源	[SC]所需领导力	[SC]升级经验类型	[SC]等级上限	[SC]生命基数	[SC]生命系数A	[SC]生命系数B	[SC]基础攻击值	[SC]攻击系数A	[SC]攻击系数B	[SC]高级技能编号	[SC]被动技能编号	[SC]队长技能编号	[SC]合成经验基数	[SC]出售价格基数	[S]暴击值	[S]命中值	[S]闪避值	[S]物攻修正	[S]法攻修正	[S]治疗修正	[S]所受物伤修正	[S]所受法伤修正	[S]所受治疗修正	[S]仇恨修正	[S]普通技能编号	[S]暴击伤害修正	[C]强化等级
int	string	string	string	string	string	int	int	string	string	string	string	int	int	int	int	float	float	int	float	float	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	string	int	int
11	呆贼＋	littlecard_0010.png	bigcard_0010.png	icon_occupation_rogue_big.png	icon_occupation_base_elite.png	4	5	littlecard_frame_class3_elite.png	bigcard_frame_class3_elite.png	icon_occupation_rogue_button.png	英雄进化	14	2	60	1532	1	83.16	1118	1	60.72	50	51	26	400	2500	1400	8500	400	0	0	0	0	0	0	0	1	5000	0
12	劣人	littlecard_0012.png	bigcard_0012.png	icon_occupation_hunter_big.png	icon_occupation_base1.png	2	4	littlecard_frame_class1.png	bigcard_frame_class1.png	icon_occupation_hunter_button.png	友情抽奖、活动	4	1	25	422	1	20.9	308	1	15.4	22	-1	-1	150	800	200	8500	0	0	0	0	0	0	0	0	2	0	0
13	劣人	littlecard_0013.png	bigcard_0013.png	icon_occupation_hunter_big.png	icon_occupation_base2.png	3	4	littlecard_frame_class2.png	bigcard_frame_class2.png	icon_occupation_hunter_button.png	符石抽奖、英雄进化、活动	6	1	30	664	1	30.8	485	1	23.1	22	45	20	200	1200	200	8500	500	0	0	0	0	0	0	0	2	0	0
14	劣人	littlecard_0014.png	bigcard_0014.png	icon_occupation_hunter_big.png	icon_occupation_base3.png	4	4	littlecard_frame_class3.png	bigcard_frame_class3.png	icon_occupation_hunter_button.png	符石抽奖、英雄进化	11	2	60	1379	1	69.3	931	1	50.6	22	46	21	400	2500	200	8500	1200	0	0	0	0	0	0	0	2	0	0
15	劣人＋	littlecard_0014.png	bigcard_0014.png	icon_occupation_hunter_big.png	icon_occupation_base_elite.png	4	4	littlecard_frame_class3_elite.png	bigcard_frame_class3_elite.png	icon_occupation_hunter_button.png	英雄进化	14	2	60	1655	1	83.16	1118	1	60.72	62	46	21	400	2500	200	8500	1200	0	0	0	0	0	0	0	2	0	0
16	神棍德	littlecard_0016.png	bigcard_0016.png	icon_occupation_druid_big.png	icon_occupation_base1.png	2	6	littlecard_frame_class1.png	bigcard_frame_class1.png	icon_occupation_druid_button.png	友情抽奖、活动	4	1	25	704	1	35.2	220	1	11	101	-1	-1	150	800	200	8500	0	0	0	0	0	0	0	0	0	0	0
17	神棍德	littlecard_0017.png	bigcard_0017.png	icon_occupation_druid_big.png	icon_occupation_base2.png	3	6	littlecard_frame_class2.png	bigcard_frame_class2.png	icon_occupation_druid_button.png	符石抽奖、英雄进化、活动	6	1	30	1108	1	52.8	346	1	16.5	101	60	30	200	1200	200	8500	0	0	0	0	-300	0	0	300	0	0	0
18	神棍德	littlecard_0018.png	bigcard_0018.png	icon_occupation_druid_big.png	icon_occupation_base3.png	4	6	littlecard_frame_class3.png	bigcard_frame_class3.png	icon_occupation_druid_button.png	符石抽奖、英雄进化	11	2	60	2129	1	115.5	665	1	36.3	101	61	31	400	2500	200	8500	0	0	0	0	-1200	0	0	800	0	0	0
19	神棍德＋	littlecard_0018.png	bigcard_0018.png	icon_occupation_druid_big.png	icon_occupation_base_elite.png	4	6	littlecard_frame_class3_elite.png	bigcard_frame_class3_elite.png	icon_occupation_druid_button.png	英雄进化	14	2	60	2555	1	138.6	798	1	43.56	141	61	31	400	2500	200	8500	0	0	0	0	-1200	0	0	800	0	0	0
20	发丝	littlecard_0020.png	bigcard_0020.png	icon_occupation_mage_big.png	icon_occupation_base1.png	2	7	littlecard_frame_class1.png	bigcard_frame_class1.png	icon_occupation_mage_button.png	友情抽奖、活动	4	1	25	393	1	18.7	316	1	15.4	17	-1	-1	150	800	200	8500	0	0	0	0	0	0	0	0	4	0	0
21	发丝	littlecard_0021.png	bigcard_0021.png	icon_occupation_mage_big.png	icon_occupation_base2.png	3	7	littlecard_frame_class2.png	bigcard_frame_class2.png	icon_occupation_mage_button.png	符石抽奖、英雄进化、活动	6	1	30	620	1	28.6	498	1	23.1	17	85	5	200	1200	200	8700	0	0	400	0	0	0	0	0	4	0	0
22	发丝	littlecard_0022.png	bigcard_0022.png	icon_occupation_mage_big.png	icon_occupation_base3.png	4	7	littlecard_frame_class3.png	bigcard_frame_class3.png	icon_occupation_mage_button.png	符石抽奖、英雄进化	11	2	60	1192	1	64.9	958	1	51.7	17	86	6	400	2500	200	8900	0	0	1200	0	0	0	0	0	4	0	0
23	发丝＋	littlecard_0022.png	bigcard_0022.png	icon_occupation_mage_big.png	icon_occupation_base_elite.png	4	7	littlecard_frame_class3_elite.png	bigcard_frame_class3_elite.png	icon_occupation_mage_button.png	英雄进化	14	2	60	1430	1	77.88	1149	1	62.04	57	86	6	400	2500	200	8900	0	0	1200	0	0	0	0	0	4	0	0
24	沐丝	littlecard_0024.png	bigcard_0024.png	icon_occupation_priest_big.png	icon_occupation_base1.png	2	8	littlecard_frame_class1.png	bigcard_frame_class1.png	icon_occupation_priest_button.png	友情抽奖、活动	4	1	25	422	1	20.9	308	1	15.4	105	-1	-1	150	800	200	8500	0	0	0	0	0	0	0	0	0	0	0
25	沐丝	littlecard_0025.png	bigcard_0025.png	icon_occupation_priest_big.png	icon_occupation_base2.png	3	8	littlecard_frame_class2.png	bigcard_frame_class2.png	icon_occupation_priest_button.png	符石抽奖、英雄进化、活动	6	1	30	664	1	30.8	485	1	23.1	105	95	10	200	1200	200	8500	0	0	0	500	0	0	0	0	0	0	0
26	沐丝	littlecard_0026.png	bigcard_0026.png	icon_occupation_priest_big.png	icon_occupation_base3.png	4	8	littlecard_frame_class3.png	bigcard_frame_class3.png	icon_occupation_priest_button.png	符石抽奖、英雄进化	11	2	60	1277	1	69.3	931	1	50.6	105	96	11	400	2500	200	8500	0	0	0	1500	0	0	0	0	0	0	0
27	沐丝＋	littlecard_0026.png	bigcard_0026.png	icon_occupation_priest_big.png	icon_occupation_base_elite.png	4	8	littlecard_frame_class3_elite.png	bigcard_frame_class3_elite.png	icon_occupation_priest_button.png	英雄进化	14	2	60	1532	1	83.16	1118	1	60.72	145	96	11	400	2500	200	8500	0	0	0	1500	0	0	0	0	0	0	0
28	术士大妈	littlecard_0028.png	bigcard_0028.png	icon_occupation_warlock_big.png	icon_occupation_base1.png	2	9	littlecard_frame_class1.png	bigcard_frame_class1.png	icon_occupation_warlock_button.png	友情抽奖、活动	4	1	25	422	1	20.9	308	1	15.4	15	-1	-1	150	800	200	8500	0	0	0	0	0	0	0	0	5	0	0
29	术士大妈	littlecard_0029.png	bigcard_0029.png	icon_occupation_warlock_big.png	icon_occupation_base2.png	3	9	littlecard_frame_class2.png	bigcard_frame_class2.png	icon_occupation_warlock_button.png	符石抽奖、英雄进化、活动	6	1	30	664	1	30.8	485	1	23.1	15	100	915	200	1200	200	8800	0	0	300	0	0	0	0	0	5	0	0
30	术士大妈	littlecard_0030.png	bigcard_0030.png	icon_occupation_warlock_big.png	icon_occupation_base3.png	4	9	littlecard_frame_class3.png	bigcard_frame_class3.png	icon_occupation_warlock_button.png	符石抽奖、英雄进化	11	2	60	1277	1	69.3	931	1	50.6	15	101	916	400	2500	200	9300	0	0	800	0	0	0	0	0	5	0	0
31	术士大妈＋	littlecard_0030.png	bigcard_0030.png	icon_occupation_warlock_big.png	icon_occupation_base_elite.png	4	9	littlecard_frame_class3_elite.png	bigcard_frame_class3_elite.png	icon_occupation_warlock_button.png	英雄进化	14	2	60	1532	1	83.16	1118	1	60.72	55	101	916	400	2500	200	9300	0	0	800	0	0	0	0	0	5	0	0
32	美屡	littlecard_0032.png	bigcard_0032.png	icon_occupation_hunter_big.png	icon_occupation_base1.png	2	4	littlecard_frame_class1.png	bigcard_frame_class1.png	icon_occupation_hunter_button.png	友情抽奖、活动	4	1	25	422	1	20.9	308	1	15.4	20	-1	-1	150	800	200	8500	0	0	0	0	0	0	0	0	2	0	0
33	美屡	littlecard_0033.png	bigcard_0033.png	icon_occupation_hunter_big.png	icon_occupation_base2.png	3	4	littlecard_frame_class2.png	bigcard_frame_class2.png	icon_occupation_hunter_button.png	符石抽奖、英雄进化、活动	6	1	30	664	1	30.8	485	1	23.1	20	40	400	200	1200	200	9000	0	0	0	0	0	0	0	0	2	0	0
34	美屡	littlecard_0034.png	bigcard_0034.png	icon_occupation_hunter_big.png	icon_occupation_base3.png	4	4	littlecard_frame_class3.png	bigcard_frame_class3.png	icon_occupation_hunter_button.png	符石抽奖、英雄进化	11	2	60	1277	1	69.3	931	1	50.6	20	41	401	400	2500	200	9300	0	800	0	0	0	0	0	0	2	0	0
35	美屡＋	littlecard_0034.png	bigcard_0034.png	icon_occupation_hunter_big.png	icon_occupation_base_elite.png	4	4	littlecard_frame_class3_elite.png	bigcard_frame_class3_elite.png	icon_occupation_hunter_button.png	英雄进化	14	2	60	1532	1	83.16	1118	1	60.72	60	41	401	400	2500	200	9300	0	800	0	0	0	0	0	0	2	0	0
36	大小姐	littlecard_0036.png	bigcard_0036.png	icon_occupation_paladin_big.png	icon_occupation_base1.png	2	2	littlecard_frame_class1.png	bigcard_frame_class1.png	icon_occupation_paladin_button.png	友情抽奖、活动	4	1	25	915	1	45.1	154	1	7.7	100	-1	-1	150	800	200	8500	0	0	0	0	0	0	0	0	0	0	0
37	大小姐	littlecard_0037.png	bigcard_0037.png	icon_occupation_paladin_big.png	icon_occupation_base2.png	3	2	littlecard_frame_class2.png	bigcard_frame_class2.png	icon_occupation_paladin_button.png	符石抽奖、英雄进化、活动	6	1	30	1441	1	68.2	242	1	11	100	20	210	200	1200	500	8500	0	0	0	0	0	-300	0	0	0	0	0
38	大小姐	littlecard_0038.png	bigcard_0038.png	icon_occupation_paladin_big.png	icon_occupation_base3.png	4	2	littlecard_frame_class3.png	bigcard_frame_class3.png	icon_occupation_paladin_button.png	符石抽奖、英雄进化	11	2	60	2767	1	150.7	465	1	25.3	100	21	211	400	2500	1000	8500	0	0	0	0	0	-1200	0	0	0	0	0
39	大小姐＋	littlecard_0038.png	bigcard_0038.png	icon_occupation_paladin_big.png	icon_occupation_base_elite.png	4	2	littlecard_frame_class3_elite.png	bigcard_frame_class3_elite.png	icon_occupation_paladin_button.png	英雄进化	14	2	60	3321	1	180.84	558	1	30.36	140	21	211	400	2500	1000	8500	0	0	0	0	0	-1200	0	0	0	0	0
40	暗夜男	littlecard_0040.png	bigcard_0040.png	icon_occupation_warrior_big.png	icon_occupation_base1.png	2	1	littlecard_frame_class1.png	bigcard_frame_class1.png	icon_occupation_warrior_button.png	友情抽奖、活动	4	1	25	704	1	35.2	220	1	11	18	-1	-1	150	800	200	8500	0	0	0	0	0	0	0	0	1	0	0
41	暗夜男	littlecard_0041.png	bigcard_0041.png	icon_occupation_warrior_big.png	icon_occupation_base2.png	3	1	littlecard_frame_class2.png	bigcard_frame_class2.png	icon_occupation_warrior_button.png	符石抽奖、英雄进化、活动	6	1	30	1108	1	52.8	346	1	16.5	18	10	100	200	1200	500	8500	0	300	0	0	0	0	0	0	1	0	0
42	暗夜男	littlecard_0042.png	bigcard_0042.png	icon_occupation_warrior_big.png	icon_occupation_base3.png	4	1	littlecard_frame_class3.png	bigcard_frame_class3.png	icon_occupation_warrior_button.png	符石抽奖、英雄进化	11	2	60	2129	1	115.5	665	1	36.3	18	11	101	400	2500	900	8500	0	500	0	0	-500	0	0	0	1	0	0
43	暗夜男＋	littlecard_0042.png	bigcard_0042.png	icon_occupation_warrior_big.png	icon_occupation_base_elite.png	4	1	littlecard_frame_class3_elite.png	bigcard_frame_class3_elite.png	icon_occupation_warrior_button.png	英雄进化	14	2	60	2555	1	138.6	798	1	43.56	58	11	101	400	2500	900	8500	0	500	0	0	-500	0	0	0	1	0	0
44	方砖	littlecard_0044.png	bigcard_0044.png	icon_occupation_mage_big.png	icon_occupation_base1.png	2	7	littlecard_frame_class1.png	bigcard_frame_class1.png	icon_occupation_mage_button.png	友情抽奖、活动	4	1	25	393	1	18.7	316	1	15.4	29	-1	-1	150	800	200	8500	0	0	0	0	0	0	0	0	4	0	0
45	方砖	littlecard_0045.png	bigcard_0045.png	icon_occupation_mage_big.png	icon_occupation_base2.png	3	7	littlecard_frame_class2.png	bigcard_frame_class2.png	icon_occupation_mage_button.png	符石抽奖、英雄进化、活动	6	1	30	620	1	28.6	498	1	23.1	29	75	705	200	1200	200	8700	0	0	400	0	0	0	0	0	4	0	0
46	方砖	littlecard_0046.png	bigcard_0046.png	icon_occupation_mage_big.png	icon_occupation_base3.png	4	7	littlecard_frame_class3.png	bigcard_frame_class3.png	icon_occupation_mage_button.png	符石抽奖、英雄进化	11	2	60	1192	1	64.9	958	1	51.7	29	76	706	400	2500	200	8900	0	0	1200	0	0	0	0	0	4	0	0
47	方砖＋	littlecard_0046.png	bigcard_0046.png	icon_occupation_mage_big.png	icon_occupation_base_elite.png	4	7	littlecard_frame_class3_elite.png	bigcard_frame_class3_elite.png	icon_occupation_mage_button.png	英雄进化	14	2	60	1430	1	77.88	1149	1	62.04	69	76	706	400	2500	200	8900	0	0	1200	0	0	0	0	0	4	0	0
48	地中海	littlecard_0048.png	bigcard_0048.png	icon_occupation_warrior_big.png	icon_occupation_base1.png	2	1	littlecard_frame_class1.png	bigcard_frame_class1.png	icon_occupation_warrior_button.png	友情抽奖、活动	4	1	25	704	1	35.2	220	1	11	18	-1	-1	150	800	200	8500	0	0	0	0	0	0	0	0	1	0	0
49	地中海	littlecard_0049.png	bigcard_0049.png	icon_occupation_warrior_big.png	icon_occupation_base2.png	3	1	littlecard_frame_class2.png	bigcard_frame_class2.png	icon_occupation_warrior_button.png	符石抽奖、英雄进化、活动	6	1	30	1108	1	52.8	346	1	16.5	18	5	115	200	1200	200	8500	0	400	0	0	-400	0	0	0	1	0	0
50	地中海	littlecard_0050.png	bigcard_0050.png	icon_occupation_warrior_big.png	icon_occupation_base3.png	4	1	littlecard_frame_class3.png	bigcard_frame_class3.png	icon_occupation_warrior_button.png	符石抽奖、英雄进化	11	2	60	2129	1	115.5	665	1	36.3	18	6	116	400	2500	200	8500	0	800	0	0	-1000	0	0	0	1	0	0
51	地中海＋	littlecard_0050.png	bigcard_0050.png	icon_occupation_warrior_big.png	icon_occupation_base_elite.png	4	1	littlecard_frame_class3_elite.png	bigcard_frame_class3_elite.png	icon_occupation_warrior_button.png	英雄进化	14	2	60	2555	1	138.6	798	1	43.56	58	6	116	400	2500	200	8500	0	800	0	0	-1000	0	0	0	1	0	0
52	国足圣圣	littlecard_0052.png	bigcard_0052.png	icon_occupation_paladin_big.png	icon_occupation_base2.png	3	2	littlecard_frame_class2.png	bigcard_frame_class2.png	icon_occupation_paladin_button.png	友情抽奖、符石抽奖、活动	6	1	30	1441	1	68.2	242	1	11	100	20	-1	200	1200	500	8500	0	0	0	0	0	-300	0	0	0	0	0
53	国足光光	littlecard_0053.png	bigcard_0053.png	icon_occupation_paladin_big.png	icon_occupation_base2.png	3	2	littlecard_frame_class2.png	bigcard_frame_class2.png	icon_occupation_paladin_button.png	友情抽奖、符石抽奖、活动	6	1	30	1441	1	68.2	242	1	11	100	20	-1	200	1200	500	8500	0	0	0	0	0	-300	0	0	0	0	0
54	国足棍棍	littlecard_0054.png	bigcard_0054.png	icon_occupation_paladin_big.png	icon_occupation_base2.png	3	2	littlecard_frame_class2.png	bigcard_frame_class2.png	icon_occupation_paladin_button.png	友情抽奖、符石抽奖、活动	6	1	30	1441	1	68.2	242	1	11	100	20	-1	200	1200	500	8500	0	0	0	0	0	-300	0	0	0	0	0
55	国足骑骑	littlecard_0055.png	bigcard_0055.png	icon_occupation_paladin_big.png	icon_occupation_base2.png	3	2	littlecard_frame_class2.png	bigcard_frame_class2.png	icon_occupation_paladin_button.png	友情抽奖、符石抽奖、活动	6	1	30	1441	1	68.2	242	1	11	100	20	-1	200	1200	500	8500	0	0	0	0	0	-300	0	0	0	0	0
56	国足士士	littlecard_0056.png	bigcard_0056.png	icon_occupation_paladin_big.png	icon_occupation_base2.png	3	2	littlecard_frame_class2.png	bigcard_frame_class2.png	icon_occupation_paladin_button.png	友情抽奖、符石抽奖、活动	6	1	30	1663	1	79.2	172	1	7.7	13	15	-1	200	1200	200	8500	0	0	0	0	0	-900	2000	0	1	0	0
57	国足团团	littlecard_0057.png	bigcard_0057.png	icon_occupation_paladin_big.png	icon_occupation_base2.png	3	2	littlecard_frame_class2.png	bigcard_frame_class2.png	icon_occupation_paladin_button.png	友情抽奖、符石抽奖、活动	6	1	30	1663	1	79.2	172	1	7.7	13	15	-1	200	1200	200	8500	0	0	0	0	0	-900	2000	0	1	0	0
58	五火球教主	littlecard_0058.png	bigcard_0058.png	icon_occupation_mage_big.png	icon_occupation_base2.png	3	7	littlecard_frame_class2.png	bigcard_frame_class2.png	icon_occupation_mage_button.png	友情抽奖、符石抽奖、活动	6	1	30	620	1	28.6	498	1	23.1	14	70	-1	200	1200	200	8500	0	0	500	0	0	0	0	0	3	0	0
59	五火球美女	littlecard_0059.png	bigcard_0059.png	icon_occupation_mage_big.png	icon_occupation_base2.png	3	7	littlecard_frame_class2.png	bigcard_frame_class2.png	icon_occupation_mage_button.png	友情抽奖、符石抽奖、活动	6	1	30	620	1	28.6	498	1	23.1	14	70	-1	200	1200	200	8500	0	0	500	0	0	0	0	0	3	0	0
60	五火球长脸	littlecard_0060.png	bigcard_0060.png	icon_occupation_mage_big.png	icon_occupation_base2.png	3	7	littlecard_frame_class2.png	bigcard_frame_class2.png	icon_occupation_mage_button.png	友情抽奖、符石抽奖、活动	6	1	30	620	1	28.6	498	1	23.1	14	70	-1	200	1200	200	8500	0	0	500	0	0	0	0	0	3	0	0
61	五火球圆脸	littlecard_0061.png	bigcard_0061.png	icon_occupation_mage_big.png	icon_occupation_base2.png	3	7	littlecard_frame_class2.png	bigcard_frame_class2.png	icon_occupation_mage_button.png	友情抽奖、符石抽奖、活动	6	1	30	620	1	28.6	498	1	23.1	14	70	-1	200	1200	200	8500	0	0	500	0	0	0	0	0	3	0	0
62	五火球厚唇	littlecard_0062.png	bigcard_0062.png	icon_occupation_mage_big.png	icon_occupation_base2.png	3	7	littlecard_frame_class2.png	bigcard_frame_class2.png	icon_occupation_mage_button.png	友情抽奖、符石抽奖、活动	6	1	30	620	1	28.6	498	1	23.1	14	70	-1	200	1200	200	8500	0	0	500	0	0	0	0	0	3	0	0
63	绿小软	littlecard_0063.png	bigcard_0063.png	icon_occupation_priest_big.png	icon_occupation_base1.png	1	8	littlecard_frame_class1.png	bigcard_frame_class1.png	icon_occupation_priest_button.png	哀嚎、玛拉得	2	1	15	211	1	10	154	1	7	101	-1	-1	120	600	200	8500	0	0	0	0	0	0	0	0	0	0	0
64	黑小软	littlecard_0064.png	bigcard_0064.png	icon_occupation_priest_big.png	icon_occupation_base1.png	1	8	littlecard_frame_class1.png	bigcard_frame_class1.png	icon_occupation_priest_button.png	哀嚎、玛拉得	2	1	15	192	1	9	140	1	7	101	-1	-1	120	600	200	8500	0	0	0	0	0	0	0	0	0	0	0
65	红恐龙	littlecard_0065.png	bigcard_0065.png	icon_occupation_warrior_big.png	icon_occupation_base1.png	1	1	littlecard_frame_class1.png	bigcard_frame_class1.png	icon_occupation_warrior_button.png	哀嚎	2	1	15	320	1	16	100	1	5	18	-1	-1	120	600	200	8500	0	0	0	0	0	0	0	0	1	0	0
66	蓝恐龙	littlecard_0066.png	bigcard_0066.png	icon_occupation_paladin_big.png	icon_occupation_base1.png	1	2	littlecard_frame_class1.png	bigcard_frame_class1.png	icon_occupation_paladin_button.png	哀嚎	2	1	15	416	1	20	70	1	3	100	-1	-1	120	600	200	8500	0	0	0	0	0	0	0	0	0	0	0
67	紫蛇	littlecard_0067.png	bigcard_0067.png	icon_occupation_warlock_big.png	icon_occupation_base1.png	1	9	littlecard_frame_class1.png	bigcard_frame_class1.png	icon_occupation_warlock_button.png	哀嚎	2	1	15	192	1	9	140	1	7	15	-1	-1	120	600	200	8500	0	0	0	0	0	0	0	0	5	0	0
68	蓝蛇	littlecard_0068.png	bigcard_0068.png	icon_occupation_rogue_big.png	icon_occupation_base1.png	1	5	littlecard_frame_class1.png	bigcard_frame_class1.png	icon_occupation_rogue_button.png	哀嚎	2	1	15	192	1	9	140	1	7	10	-1	-1	120	600	200	8500	0	0	0	0	0	0	0	0	1	5000	0
69	灰游荡者	littlecard_0069.png	bigcard_0069.png	icon_occupation_warrior_big.png	icon_occupation_base1.png	1	1	littlecard_frame_class1.png	bigcard_frame_class1.png	icon_occupation_warrior_button.png	哀嚎、玛拉得	2	1	15	480	1	24	50	1	2	11	-1	-1	120	600	200	8500	0	0	0	0	0	0	0	0	1	0	0
70	绿游荡者	littlecard_0070.png	bigcard_0070.png	icon_occupation_warrior_big.png	icon_occupation_base1.png	1	1	littlecard_frame_class1.png	bigcard_frame_class1.png	icon_occupation_warrior_button.png	哀嚎、玛拉得	2	1	15	480	1	24	50	1	2	11	-1	-1	120	600	200	8500	0	0	0	0	0	0	0	0	1	0	0
71	大囧龟	littlecard_0071.png	bigcard_0071.png	icon_occupation_warrior_big.png	icon_occupation_base2.png	3	1	littlecard_frame_class2.png	bigcard_frame_class2.png	icon_occupation_warrior_button.png	哀嚎	6	1	30	1360	1	64.8	141	1	6.3	11	0	-1	200	1200	200	8500	0	0	0	0	-900	0	2000	0	1	0	0
72	大囧龟＋	littlecard_0071.png	bigcard_0071.png	icon_occupation_warrior_big.png	icon_occupation_base_elite.png	3	1	littlecard_frame_class2_elite.png	bigcard_frame_class2_elite.png	icon_occupation_warrior_button.png	符石抽奖、英雄进化	7	1	30	1663	1	79.2	172	1	7.7	51	0	-1	200	1200	200	8500	0	0	0	0	-900	0	2000	0	1	0	0
73	皮飒丝	littlecard_0073.png	bigcard_0073.png	icon_occupation_warrior_big.png	icon_occupation_base2.png	3	1	littlecard_frame_class2.png	bigcard_frame_class2.png	icon_occupation_warrior_button.png	哀嚎	6	1	30	907	1	43.2	283	1	13.5	18	10	-1	200	1200	500	8500	0	300	0	0	0	0	0	0	1	0	0
74	皮飒丝＋	littlecard_0073.png	bigcard_0073.png	icon_occupation_warrior_big.png	icon_occupation_base_elite.png	3	1	littlecard_frame_class2_elite.png	bigcard_frame_class2_elite.png	icon_occupation_warrior_button.png	符石抽奖、英雄进化	7	1	30	1108	1	52.8	346	1	16.5	58	10	-1	200	1200	500	8500	0	300	0	0	0	0	0	0	1	0	0
