##卡牌升级表				
##[SC]卡牌等级	[SC]类型1所需经验	[SC]类型2所需经验	[SC]类型3所需经验	[SC]类型4所需经验
##index(0)				
int	int	int	int	int
160	674807	1012210	1687017	2699228
161	708771	1063156	1771927	2835084
162	727338	1091007	1818345	2909352
163	745904	1118856	1864760	2983616
164	764471	1146706	1911177	3057884
165	783037	1174555	1957592	3132148
166	822095	1233142	2055237	3288380
167	843447	1265170	2108617	3373788
168	864799	1297198	2161997	3459196
169	886150	1329225	2215375	3544600
170	907502	1361253	2268755	3630008
171	952419	1428628	2381047	3809676
172	976973	1465459	2442432	3907892
173	1001527	1502290	2503817	4006108
174	1026082	1539123	2565205	4104328
175	1050636	1575954	2626590	4202544
176	1102290	1653435	2755725	4409160
177	1130528	1695792	2826320	4522112
178	1158765	1738147	2896912	4635060
179	1187003	1780504	2967507	4748012
180	1215240	1822860	3038100	4860960
181	1274643	1911964	3186607	5098572
182	1307116	1960674	3267790	5228464
183	1339589	2009383	3348972	5358356
184	1372062	2058093	3430155	5488248
185	1404535	2106802	3511337	5618140
186	1472848	2209272	3682120	5891392
187	1510192	2265288	3775480	6040768
188	1547536	2321304	3868840	6190144
189	1584880	2377320	3962200	6339520
190	1622225	2433337	4055562	6488900
191	1700784	2551176	4251960	6803136
192	1743730	2615595	4359325	6974920
193	1786676	2680014	4466690	7146704
194	1829621	2744431	4574052	7318484
195	1872567	2808850	4681417	7490268
196	1962910	2944365	4907275	7851640
197	2012298	3018447	5030745	8049192
198	2061686	3092529	5154215	8246744
199	2111073	3166609	5277682	8444292
200	2160461	3240691	5401152	8641844
