##被动技能表		
##[SC]技能编号	[C]技能名称	[C]技能描述
##index(0)		
int	string	string
102	高级痛苦天赋	少量+魔攻，少量+命中，微量+法抗
103	大师级痛苦天赋	大量+魔攻，大量+命中，少量+法抗
104	宗师级痛苦天赋	大量+魔攻，大量+命中，少量+法抗
105	初级毁灭天赋	微量+魔攻，微量+暴击
106	中级毁灭天赋	少量+魔攻，微量+暴击，微量+回避
107	高级毁灭天赋	中量+魔攻，少量+暴击，微量+回避
108	大师级毁灭天赋	大量+魔攻，少量+暴击，少量+回避
109	宗师级毁灭天赋	巨量+魔攻，中量+暴击，少量+回避
110	合成专用	可以提供10000经验
111	高级合成专用	可以提供50000经验
112	小金龙	可以出售10000金币
113	稀有小金龙	可以出售30000金币
114	超稀有小金龙	可以出售60000金币
