##怪物表																						
##[SC]怪物编号	[C]类型	[C]卡牌形象	[SC]生命	[S]攻击	[S]暴击值	[S]命中值	[S]闪避值	[S]物攻修正	[S]法攻修正	[S]治疗修正	[S]所受物伤修正	[S]所受法伤修正	[S]所受治疗修正	[S]普通技能编号	[S]高级技能编号	[S]获得经验	[S]获得金币	[S]掉落方案编号	[S]掉落方案编号2	[S]AI编号	[S]暴击伤害修正	[S]韧性
int	int	int	int	int	int	int	int	int	int	int	int	int	int	string	int	int	int	int	int	int	int	int
56	0	68	912	160	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	56	56	-1	0	0
57	0	65	912	160	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	57	57	-1	0	0
58	0	66	2166	163	400	8500	-100	0	0	0	0	-4000	0	1	300	0	0	58	58	-1	0	0
59	1	81	4560	240	1500	8500	100	0	0	0	0	-4000	0	1	302	306	950	59	59	-1	0	0
60	0	102	944	166	400	8500	-1500	0	0	0	0	-300	0	3	219	0	0	60	60	-1	0	0
61	0	104	944	166	400	8500	-1500	0	0	0	-500	0	0	2	220	0	0	61	61	-1	0	0
62	0	105	944	166	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	62	62	-1	0	0
63	1	102	3870	219	1500	8600	0	0	0	0	0	-2500	0	3	219	0	0	63	63	-1	0	0
64	1	104	2580	328	1500	8800	0	0	0	0	-2500	0	0	2	220	306	950	64	64	-1	0	0
65	0	102	1026	180	400	8500	-1500	0	0	0	0	-300	0	3	219	0	0	65	65	-1	0	0
66	0	103	1026	180	400	8500	-1500	0	0	0	-500	0	0	2	222	0	0	66	66	-1	0	0
67	0	104	1026	180	400	8500	-1500	0	0	0	-500	0	0	2	220	0	0	67	67	-1	0	0
68	0	105	525	415	400	8500	-100	0	0	0	-4000	0	0	1	218	0	0	68	68	-1	0	0
69	1	106	5540	277	1500	8500	-100	0	0	0	0	-5000	0	1	300	324	1000	69	69	-1	0	0
70	0	101	1062	186	400	8500	-1500	0	0	0	0	-1000	0	1	213	0	0	70	70	-1	0	0
71	0	102	1062	186	400	8500	-1500	0	0	0	0	-300	0	3	219	0	0	71	71	-1	0	0
72	0	103	1062	186	400	8500	-1500	0	0	0	-500	0	0	2	222	0	0	72	72	-1	0	0
73	1	101	4354	246	1500	8500	-100	0	0	0	0	-4500	0	1	213	0	0	73	73	-1	0	0
74	1	103	4354	246	1500	8800	0	0	0	0	-2500	0	0	2	222	324	1000	74	74	-1	0	0
75	0	101	1140	200	400	8500	-1500	0	0	0	0	-1000	0	1	213	0	0	75	75	-1	0	0
76	0	102	1140	200	400	8500	-1500	0	0	0	0	-300	0	3	219	0	0	76	76	-1	0	0
77	0	103	1140	200	400	8500	-1500	0	0	0	-500	0	0	2	222	0	0	77	77	-1	0	0
78	0	104	2921	209	400	8700	0	0	0	0	-2000	0	0	2	220	0	0	78	78	-1	0	0
79	1	108	6156	308	1500	8500	100	0	0	0	0	-4000	0	7	223	342	1102	79	79	-1	0	0
80	0	86	1163	204	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	80	80	-1	0	0
81	0	83	1163	204	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	81	81	-1	0	0
82	0	84	1163	204	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	82	82	-1	0	0
83	1	83	3973	337	1500	8500	-100	0	0	0	-4500	0	0	1	218	0	0	83	83	-1	0	0
84	1	84	4767	269	1500	8500	-100	0	0	0	-4500	0	0	1	218	342	1102	84	84	-1	0	0
85	0	103	1186	208	400	8500	-1500	0	0	0	-500	0	0	2	222	0	0	85	85	-1	0	0
86	0	101	1186	208	400	8500	-1500	0	0	0	0	-1000	0	1	213	0	0	86	86	-1	0	0
87	0	102	1186	208	400	8500	-1500	0	0	0	0	-300	0	3	219	0	0	87	87	-1	0	0
88	1	101	4861	275	400	8500	-200	0	0	0	0	-4500	0	1	213	0	0	88	88	-1	0	0
89	1	102	4861	275	1500	8600	0	0	0	0	0	-2500	0	3	219	342	1102	89	89	-1	0	0
90	0	103	1208	212	400	8500	-1500	0	0	0	-500	0	0	2	222	0	0	90	90	-1	0	0
91	0	104	1208	212	400	8500	-1500	0	0	0	-500	0	0	2	220	0	0	91	91	-1	0	0
92	0	101	1208	212	400	8500	-1500	0	0	0	0	-1000	0	1	213	0	0	92	92	-1	0	0
93	0	102	3097	222	1500	8600	0	0	0	0	0	-1500	0	3	219	0	0	93	93	-1	0	0
94	1	110	6525	326	1500	8500	-200	0	0	0	-5000	0	0	1	218	342	1102	94	94	-1	0	0
95	0	103	1254	220	400	8500	-1500	0	0	0	-500	0	0	2	222	0	0	95	95	-1	0	0
96	0	104	1254	220	400	8500	-1500	0	0	0	-500	0	0	2	220	0	0	96	96	-1	0	0
97	0	105	1254	220	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	97	97	-1	0	0
98	1	105	6425	181	400	8500	-200	0	0	0	-4500	0	0	1	218	0	0	98	98	-1	0	0
99	1	105	6425	181	1500	8500	-200	0	0	0	-4500	0	0	1	218	360	1210	99	99	-1	0	0
100	0	103	1279	224	400	8500	-1500	0	0	0	-500	0	0	2	222	0	0	100	100	-1	0	0
101	0	104	1279	224	400	8500	-1500	0	0	0	-500	0	0	2	220	0	0	101	101	-1	0	0
102	0	102	1279	224	400	8500	-1500	0	0	0	0	-300	0	3	219	0	0	102	102	-1	0	0
103	0	105	3278	235	1500	8500	-200	0	0	0	-4000	0	0	1	218	0	0	103	103	-1	0	0
104	1	112	6907	346	1500	8500	400	0	0	0	-2000	0	0	1	210	360	1210	104	104	-1	0	0
105	0	102	1304	229	400	8500	-1500	0	0	0	0	-300	0	3	219	0	0	105	105	-1	0	0
106	0	103	1304	229	400	8500	-1500	0	0	0	-500	0	0	2	222	0	0	106	106	-1	0	0
107	0	104	1304	229	400	8500	-1500	0	0	0	-500	0	0	2	220	0	0	107	107	-1	0	0
108	1	103	3565	453	400	8800	0	0	0	0	-2500	0	0	2	222	0	0	108	108	-1	0	0
109	1	104	3565	453	1500	8800	0	0	0	0	-2500	0	0	2	222	360	1210	109	109	-1	0	0
110	0	85	1329	233	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	110	110	-1	0	0
111	0	86	1329	233	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	111	111	-1	0	0
112	0	83	1329	233	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	112	112	-1	0	0
113	1	85	4542	385	1500	8500	-200	0	0	0	-4500	0	0	1	218	0	0	113	113	-1	0	0
114	1	86	5450	308	1500	8500	300	0	0	0	-1000	0	0	1	210	360	1210	114	114	-1	0	0
115	0	101	1368	240	400	8500	-1500	0	0	0	0	-1000	0	1	213	0	0	115	115	-1	0	0
116	0	102	1368	240	400	8500	-1500	0	0	0	0	-300	0	3	219	0	0	116	116	-1	0	0
117	0	103	1368	240	400	8500	-1500	0	0	0	-500	0	0	2	222	0	0	117	117	-1	0	0
118	0	104	700	553	400	8700	0	0	0	0	-2000	0	0	2	220	0	0	118	118	-1	0	0
119	1	114	6156	462	1500	8500	200	0	0	0	0	-4000	0	7	223	378	1322	119	119	-1	0	0
120	0	87	1395	245	400	8500	-1500	0	0	0	0	-1000	0	1	213	0	0	120	120	-1	0	0
121	0	88	1395	245	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	121	121	-1	0	0
122	0	85	1395	245	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	122	122	-1	0	0
123	1	87	4093	514	1500	8500	-200	0	0	0	0	-4500	0	1	213	0	0	123	123	-1	0	0
124	1	88	4093	514	1500	8500	400	0	0	0	-1000	0	0	1	210	378	1322	124	124	-1	0	0
125	0	87	1423	250	400	8500	-1500	0	0	0	0	-1000	0	1	213	0	0	125	125	-1	0	0
126	0	88	1423	250	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	126	126	-1	0	0
127	0	83	1423	250	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	127	127	-1	0	0
128	0	84	4891	175	400	8500	-200	0	0	0	-4000	0	0	1	218	0	0	128	128	-1	0	0
129	1	89	5691	618	1500	8700	-100	0	0	0	0	-3500	0	3	214	378	1322	129	129	-1	0	0
130	0	87	1482	260	400	8500	-1500	0	0	0	0	-1000	0	1	213	0	0	130	130	-1	0	0
131	0	83	1482	260	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	131	131	-1	0	0
132	0	84	1482	260	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	132	132	-1	0	0
133	1	85	5434	455	1500	8500	-200	0	0	0	-4500	0	0	1	218	0	0	133	133	-1	0	0
134	1	86	4347	546	1500	8500	400	0	0	0	-1000	0	0	1	210	396	1440	134	134	-1	0	0
135	0	87	1512	265	400	8500	-1500	0	0	0	0	-1000	0	1	213	0	0	135	135	-1	0	0
136	0	88	1512	265	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	136	136	-1	0	0
137	0	83	1512	265	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	137	137	-1	0	0
138	0	84	5195	185	400	8500	-200	0	0	0	-4000	0	0	1	218	0	0	138	138	-1	0	0
139	1	91	6047	656	1500	8500	-100	0	0	0	0	-3500	0	5	215	396	1440	139	139	-1	0	0
140	0	85	1541	270	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	140	140	-1	0	0
141	0	86	1541	270	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	141	141	-1	0	0
142	0	83	1541	270	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	142	142	-1	0	0
143	0	84	5297	189	1500	8500	-300	0	0	0	-4000	0	0	1	218	0	0	143	143	-1	0	0
144	1	93	6165	669	1500	8500	-300	0	0	0	0	-5000	0	1	213	396	1440	144	144	-1	0	0
145	0	83	1596	280	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	145	145	-1	0	0
146	0	85	1596	280	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	146	146	-1	0	0
147	0	86	1596	280	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	147	147	-1	0	0
148	1	84	8778	245	400	8500	-300	0	0	0	-4500	0	0	1	218	0	0	148	148	-1	0	0
149	1	85	7022	392	1500	8500	-300	0	0	0	-4500	0	0	1	218	414	1562	149	149	-1	0	0
150	0	83	1628	286	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	150	150	-1	0	0
151	0	84	1628	286	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	151	151	-1	0	0
152	0	85	1628	286	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	152	152	-1	0	0
153	0	86	895	705	1500	8500	600	0	0	0	-500	0	0	1	210	0	0	153	153	-1	0	0
154	1	95	8140	589	1500	8500	-100	0	0	0	0	-3500	0	1	301	414	1562	154	154	-1	0	0
155	0	84	1660	291	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	155	155	-1	0	0
156	0	87	1660	291	400	8500	-1500	0	0	0	0	-1000	0	1	213	0	0	156	156	-1	0	0
157	0	88	1660	291	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	157	157	-1	0	0
158	1	87	4869	612	400	8500	-500	0	0	0	0	-4500	0	1	213	0	0	158	158	-1	0	0
159	1	88	4869	612	1500	8500	1000	0	0	0	-1000	0	0	1	210	414	1562	159	159	-1	0	0
160	0	85	1692	297	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	160	160	-1	0	0
161	0	86	1692	297	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	161	161	-1	0	0
162	0	87	1692	297	400	8500	-1500	0	0	0	0	-1000	0	1	213	0	0	162	162	-1	0	0
163	0	88	930	733	1500	8500	900	0	0	0	-500	0	0	1	210	0	0	163	163	-1	0	0
164	1	97	8459	612	1500	8500	1600	0	0	0	-2000	0	0	1	210	414	1562	164	164	-1	0	0
165	0	83	1710	300	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	165	165	-1	0	0
166	0	84	1710	300	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	166	166	-1	0	0
167	0	85	1710	300	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	167	167	-1	0	0
168	0	86	941	741	400	8500	1300	0	0	0	-500	0	0	1	210	0	0	168	168	-1	0	0
169	1	99	8550	619	1500	8500	-300	0	0	0	0	-3500	0	5	221	432	1690	169	169	-1	0	0
170	0	116	1742	306	400	8500	-1500	0	0	0	0	-300	0	5	215	0	0	170	170	-1	0	0
171	0	117	1742	306	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	171	171	-1	0	0
172	0	118	1742	306	400	8500	-1500	0	0	0	0	-300	0	3	219	0	0	172	172	-1	0	0
173	1	117	10452	286	1500	8500	-1000	0	0	0	-4500	0	0	1	218	0	0	173	173	-1	0	0
174	1	117	10452	286	1500	8500	-1000	0	0	0	-4500	0	0	1	218	432	1690	174	174	-1	0	0
175	0	116	1775	311	400	8500	-1500	0	0	0	0	-300	0	5	215	0	0	175	175	-1	0	0
176	0	117	1775	311	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	176	176	-1	0	0
177	0	118	1775	311	400	8500	-1500	0	0	0	0	-300	0	3	219	0	0	177	177	-1	0	0
178	0	117	1065	839	400	8500	-1000	0	0	0	-4000	0	0	1	218	0	0	178	178	-1	0	0
179	1	119	10058	701	1500	8500	500	0	0	0	-4000	0	0	1	211	432	1690	179	179	-1	0	0
180	0	116	1807	317	400	8500	-1500	0	0	0	0	-300	0	5	215	0	0	180	180	-1	0	0
181	0	117	1807	317	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	181	181	-1	0	0
182	0	118	1807	317	400	8500	-1500	0	0	0	0	-300	0	3	219	0	0	182	182	-1	0	0
183	1	118	8676	476	1500	8600	0	0	0	0	0	-2500	0	3	219	0	0	183	183	-1	0	0
184	1	118	8676	476	1500	8600	0	0	0	0	0	-2500	0	3	219	432	1690	184	184	-1	0	0
185	0	116	1824	320	400	8500	-1500	0	0	0	0	-300	0	5	215	0	0	185	185	-1	0	0
186	0	117	1824	320	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	186	186	-1	0	0
187	0	118	1824	320	400	8500	-1500	0	0	0	0	-300	0	3	219	0	0	187	187	-1	0	0
188	0	118	1092	862	400	8600	-200	0	0	0	0	-1500	0	3	219	0	0	188	188	-1	0	0
189	1	121	12403	576	1500	8700	-300	0	0	0	0	-3500	0	4	229	450	1822	189	189	-1	0	0
190	0	116	1857	326	400	8500	-1500	0	0	0	0	-300	0	5	215	0	0	190	190	-1	0	0
191	0	117	1857	326	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	191	191	-1	0	0
192	0	118	1857	326	400	8500	-1500	0	0	0	0	-300	0	3	219	0	0	192	192	-1	0	0
193	1	116	7428	611	1500	8500	0	0	0	0	0	-2500	0	5	215	0	0	193	193	-1	0	0
194	1	116	7428	611	1500	8500	0	0	0	0	0	-2500	0	5	215	450	1822	194	194	-1	0	0
195	0	116	1890	332	400	8500	-1500	0	0	0	0	-300	0	5	215	0	0	195	195	-1	0	0
196	0	117	1890	332	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	196	196	-1	0	0
197	0	118	1890	332	400	8500	-1500	0	0	0	0	-300	0	3	219	0	0	197	197	-1	0	0
198	0	117	7087	254	400	8500	-1000	0	0	0	-4000	0	0	1	218	0	0	198	198	-1	0	0
199	1	123	8567	895	1500	8500	2500	0	0	0	-2000	0	0	1	210	450	1822	199	199	-1	0	0
200	0	116	1923	337	400	8500	-1500	0	0	0	0	-300	0	5	215	0	0	200	200	-1	0	0
201	0	117	1923	337	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	201	201	-1	0	0
202	0	118	1923	337	400	8500	-1500	0	0	0	0	-300	0	3	219	0	0	202	202	-1	0	0
203	1	116	7691	632	1500	8500	0	0	0	0	0	-2500	0	5	215	0	0	203	203	-1	0	0
204	1	118	6153	759	1500	8600	0	0	0	0	0	-2500	0	3	219	450	1822	204	204	-1	0	0
205	0	116	1938	340	400	8500	-1500	0	0	0	0	-300	0	5	215	0	0	205	205	-1	0	0
206	0	117	1938	340	400	8500	-1500	0	0	0	-1000	0	0	1	218	0	0	206	206	-1	0	0
207	0	118	1938	340	400	8500	-1500	0	0	0	0	-300	0	3	219	0	0	207	207	-1	0	0
208	0	116	3876	624	400	8500	-200	0	0	0	0	-1500	0	5	215	0	0	208	208	-1	0	0
209	1	125	10982	765	1500	8500	1000	0	0	0	0	-4000	0	1	302	468	1960	209	209	-1	0	0
210	0	129	1971	346	400	8500	-1500	0	0	0	-1000	0	0	1	211	0	0	210	210	-1	0	0
211	0	130	1971	346	400	8500	-1500	0	0	0	0	-1000	0	1	300	0	0	211	211	-1	0	0
212	0	133	1971	346	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	212	212	-1	0	0
213	1	133	6571	778	1500	8500	2000	0	0	0	-1000	0	0	1	210	0	0	213	213	-1	0	0
214	1	133	6571	778	1500	8500	2000	0	0	0	-1000	0	0	1	210	468	1960	214	214	-1	0	0
215	0	129	2004	352	400	8500	-1500	0	0	0	-1000	0	0	1	211	0	0	215	215	-1	0	0
216	0	130	2004	352	400	8500	-1500	0	0	0	0	-1000	0	1	300	0	0	216	216	-1	0	0
217	0	133	2004	352	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	217	217	-1	0	0
218	0	133	1251	947	400	8500	1500	0	0	0	-500	0	0	1	210	0	0	218	218	-1	0	0
219	1	134	12027	791	1500	9600	1000	0	0	0	-3000	0	0	2	222	468	1960	219	219	-1	0	0
220	0	127	2038	357	400	8500	-1500	0	0	0	0	-300	0	5	215	0	0	220	220	-1	0	0
221	0	128	2038	357	400	8500	-1500	0	0	0	0	-300	0	3	214	0	0	221	221	-1	0	0
222	0	129	2038	357	400	8500	-1500	0	0	0	-1000	0	0	1	211	0	0	222	222	-1	0	0
223	1	127	10188	536	1500	8500	0	0	0	0	0	-2500	0	5	215	0	0	223	223	-1	0	0
224	1	128	6792	804	1500	8600	0	0	0	0	0	-2500	0	3	214	468	1960	224	224	-1	0	0
225	0	127	2052	360	400	8500	-1500	0	0	0	0	-300	0	5	215	0	0	225	225	-1	0	0
226	0	128	2052	360	400	8500	-1500	0	0	0	0	-300	0	3	214	0	0	226	226	-1	0	0
227	0	129	2052	360	400	8500	-1500	0	0	0	-1000	0	0	1	211	0	0	227	227	-1	0	0
228	0	130	8016	275	400	8500	-1000	0	0	0	0	-4000	0	1	300	0	0	228	228	-1	0	0
229	1	136	9850	972	1500	8900	-300	0	0	0	0	-3500	0	3	219	486	2102	229	229	-1	0	0
230	0	131	2085	366	400	8600	-1500	0	0	0	0	-300	0	3	214	0	0	230	230	-1	0	0
231	0	132	2085	366	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	231	231	-1	0	0
232	0	128	2085	366	400	8600	-1500	0	0	0	0	-300	0	3	214	0	0	232	232	-1	0	0
233	1	131	6951	823	1500	8600	0	0	0	0	0	-2500	0	3	214	0	0	233	233	-1	0	0
234	1	132	6951	823	1500	8500	2000	0	0	0	-1000	0	0	1	210	486	2102	234	234	-1	0	0
235	0	131	2119	372	400	8600	-1500	0	0	0	0	-300	0	3	214	0	0	235	235	-1	0	0
236	0	132	2119	372	400	8500	-1500	0	0	0	0	0	0	1	210	0	0	236	236	-1	0	0
237	0	127	2119	372	400	8600	-1500	0	0	0	0	-300	0	5	215	0	0	237	237	-1	0	0
238	0	128	1323	1001	400	8700	-200	0	0	0	0	-1500	0	3	214	0	0	238	238	-1	0	0
239	1	138	12713	836	1500	9000	-300	0	0	0	0	-3500	0	4	229	486	2102	239	239	-1	0	0
240	0	129	2152	378	400	8500	-1500	0	0	0	-1000	0	0	1	211	0	0	240	240	-1	0	0
241	0	130	2152	378	400	8500	-1500	0	0	0	0	-1000	0	1	300	0	0	241	241	-1	0	0
242	0	131	2152	378	400	8600	-1500	0	0	0	0	-300	0	3	214	0	0	242	242	-1	0	0
243	1	129	13452	354	1500	8500	-1000	0	0	0	-4500	0	0	1	211	0	0	243	243	-1	0	0
244	1	130	8968	708	1500	8500	-1000	0	0	0	0	-4500	0	1	300	486	2102	244	244	-1	0	0
245	0	129	2257	396	400	8500	-1500	0	0	0	-1000	0	0	1	211	0	0	245	245	-1	0	0
246	0	130	2257	396	400	8500	-1500	0	0	0	0	-1000	0	1	300	0	0	246	246	-1	0	0
247	0	127	2257	396	400	8600	-1500	0	0	0	0	-300	0	5	215	0	0	247	247	-1	0	0
248	0	128	1409	1066	400	8800	-200	0	0	0	0	-1500	0	3	214	0	0	248	248	-1	0	0
249	1	140	13543	891	1500	8500	-1000	0	0	0	-5000	0	0	1	218	504	2250	249	249	-1	0	0
250	0	128	2292	402	400	8600	-1500	0	0	0	0	-300	0	3	214	0	0	250	250	-1	0	0
251	0	130	2292	402	400	8500	-1500	0	0	0	0	-1000	0	1	300	0	0	251	251	-1	0	0
252	0	127	2292	402	400	8600	-1500	0	0	0	0	-300	0	5	215	0	0	252	252	-1	0	0
253	1	128	7636	905	1500	8700	0	0	0	0	0	-2500	0	3	214	0	0	253	253	-1	0	0
254	1	130	14323	376	1500	8500	-1000	0	0	0	0	-4500	0	1	300	504	2250	254	254	-1	0	0
255	0	128	2327	408	400	8600	-1500	0	0	0	0	-300	0	3	214	0	0	255	255	-1	0	0
256	0	130	2327	408	400	8500	-1500	0	0	0	0	-1000	0	1	300	0	0	256	256	-1	0	0
