##主动技能表															
##第一列“队长技能编号”必须是从0开始线性增长															
##[SC]技能编号	[SC]技能类型	[C]技能名称	[C]技能描述	[C]技能特效	等级上限	循环回合数	施放回合数	技能目标	[SC]目标范围	攻击类型	基础修正基数	升级修正系数	升级几率	效果类型	效果参数
##index(0)															
int	int	string	string	int	int	int	string	int	int	int	int	int	int	int	int
109	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
110	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
111	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
112	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
113	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
114	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
115	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
116	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
117	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
118	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
119	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
120	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
121	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
122	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
123	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
124	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
125	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
126	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
127	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
128	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
129	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
130	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
131	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
132	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
133	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
134	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
135	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
136	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
137	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
138	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
139	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
140	1	高级圣光术	恢复1名队友中量生命	15	6	3	2	0	1	3	77	18	17	-1	0
141	1	高级强效治疗	恢复1名队友中量生命	4	6	3	2	0	1	3	77	18	17	-1	0
142	1	高级治疗链	恢复3名队友少量生命	4	6	3	2	0	6	3	-26	8	17	-1	0
143	1	高级回春术	恢复1名队友中量生命	4	6	3	2	0	1	3	77	18	17	-1	0
144	1	高级圣光普照	恢复3名队友少量生命	16	6	3	2	0	6	3	-26	8	17	-1	0
145	1	高级治疗祷言	恢复全体队友微量生命	11	6	3	2	0	2	3	-43	6	17	-1	0
146	1	高级复活术	复活队友，每场1次	15	6	3	2	0	1	3	-28	6	17	1	0
147	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
148	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
149	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
150	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
151	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
152	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
153	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
154	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
155	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
156	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
157	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
158	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
159	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
160	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
161	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
162	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
163	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
164	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
165	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
166	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
167	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
168	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
169	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
170	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
171	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
172	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
173	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
174	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
175	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
176	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
177	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
178	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
179	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
180	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
181	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
182	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
183	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
184	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
185	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
186	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
187	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
188	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
189	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
190	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
191	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
192	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
193	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
194	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
195	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
196	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
197	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
198	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
199	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
200	0	治疗术	恢复1名队友少量生命	4	1	1	-1	0	1	3	600	0	-1	-1	0
201	0	普通攻击	对单体使用普通物理攻击	2	1	1	-1	1	1	1	0	0	-1	-1	0
202	0	射击	对单体使用普通物理攻击	14	1	1	-1	1	1	1	0	0	-1	-1	0
203	0	火球术	对单体使用普通法术攻击	0	1	1	-1	1	1	2	0	0	-1	-1	0
204	0	寒冰箭	对单体使用普通法术攻击	1	1	1	-1	1	1	2	0	0	-1	-1	0
205	0	暗影箭	对单体使用普通法术攻击	8	1	1	-1	1	1	2	0	0	-1	-1	0
206	0	暗言术灭	对单体使用普通法术攻击	18	1	1	-1	1	1	2	0	0	-1	-1	0
207	0	闪电箭	对单体使用普通法术攻击	5	1	1	-1	1	1	2	0	0	-1	-1	0
208	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
209	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
210	1	背刺	boos技1.5倍增幅	7	6	4	2	1	1	1	136	15	10	-1	0
211	1	重击	对单体使用强力物理攻击	24	6	4	2	1	1	1	136	15	10	-1	0
212	1	十字军打击	对单体使用强力物理攻击	22	6	4	2	1	6	1	8	15	10	0	800
213	1	审判	对单体使用强力法术攻击	6	6	4	2	1	1	2	136	15	10	-1	0
214	1	炎爆术	对单体使用强力法术攻击	3	6	4	2	1	1	2	136	15	10	-1	0
215	1	生命虹吸	对单体使用强力法术攻击	21	6	4	2	1	1	2	136	15	10	0	1000
216	1	顺劈斩	对竖排目标使用物理攻击	20	6	4	2	1	5	1	40	9	10	-1	0
217	1	冰锥术	对竖排目标使用法术攻击	10	6	4	2	1	5	2	40	9	10	-1	0
218	1	旋风斩	对前排目标使用物理攻击	9	6	4	2	1	3	1	36	7	10	-1	0
219	1	魔爆术	对前排目标使用法术攻击	17	6	4	2	1	3	2	36	9	10	-1	0
220	1	瞄准射击	对随机2目标使用物理攻击	13	6	4	2	1	7	1	40	9	10	-1	0
221	1	火焰新星	对后排目标使用法术攻击	3	6	4	2	1	4	2	4	9	10	-1	0
222	1	乱射	对后排目标使用物理攻击	14	6	4	2	1	4	1	4	9	10	-1	0
223	1	闪电链	对随机3目标使用法术攻击	5	6	4	2	1	6	2	4	7	10	-1	0
224	1	暗影群	对随机2目标使用法术攻击	8	6	4	2	1	6	2	31	8	10	-1	0
225	1	雷霆一击	对随机2目标使用物理攻击	19	6	4	2	1	2	1	31	8	10	-1	0
226	1	重击群	对全体使用物理攻击	2	6	4	2	1	2	1	-24	5	10	-1	0
227	1	寒冰箭群	对全体使用法术攻击	1	6	4	2	1	2	2	-24	5	10	-1	0
228	1	炎爆术群	对全体使用法术攻击	3	6	4	2	1	2	2	-24	5	10	-1	0
229	1	暴风雪	对全体使用法术攻击	23	6	4	2	1	2	2	-24	5	10	-1	0
230	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
231	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
232	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
233	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
234	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
235	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
236	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
237	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
238	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
239	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
240	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
241	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
242	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
243	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
244	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
245	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
246	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
247	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
248	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
249	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
250	1	高级背刺	对单体使用强力物理攻击	7	6	3	1	1	1	1	183	18	17	-1	0
251	1	高级重击	对单体使用强力物理攻击	24	6	3	1	1	1	1	183	18	17	-1	0
252	1	高级十字军打击	对单体使用强力物理攻击	22	6	3	1	1	6	1	29	18	17	0	800
253	1	高级审判	对单体使用强力法术攻击	6	6	3	1	1	1	2	183	18	17	-1	0
254	1	高级炎爆术	对单体使用强力法术攻击	3	6	3	1	1	1	2	183	18	17	-1	0
255	1	高级生命虹吸	对单体使用强力法术攻击	21	6	3	1	1	1	2	183	18	17	0	1000
256	1	高级顺劈斩	对竖排目标使用物理攻击	20	6	3	1	1	5	1	68	10	17	-1	0
257	1	高级冰锥术	对竖排目标使用法术攻击	10	6	3	1	1	5	2	68	10	17	-1	0
258	1	高级旋风斩	对前排目标使用物理攻击	9	6	3	1	1	3	1	63	8	17	-1	0
259	1	高级魔爆术	对前排目标使用法术攻击	17	6	3	1	1	3	2	63	10	17	-1	0
260	1	高级瞄准射击	对随机2目标使用物理攻击	13	6	3	1	1	7	1	68	10	17	-1	0
261	1	高级火焰新星	对后排目标使用法术攻击	3	6	3	1	1	4	2	24	10	17	-1	0
262	1	高级乱射	对后排目标使用物理攻击	14	6	3	1	1	4	1	24	10	17	-1	0
263	1	高级闪电链	对随机3目标使用法术攻击	5	6	3	1	1	6	2	24	8	17	-1	0
264	1	高级暗影群	对随机2目标使用法术攻击	8	6	3	1	1	6	2	57	9	17	-1	0
265	1	高级雷霆一击	对随机2目标使用物理攻击	19	6	3	1	1	2	1	57	9	17	-1	0
266	1	高级重击群	对全体使用物理攻击	2	6	3	1	1	2	1	0	6	17	-1	0
267	1	高级寒冰箭群	对全体使用法术攻击	1	6	3	1	1	2	2	0	6	17	-1	0
268	1	高级炎爆术群	对全体使用法术攻击	3	6	3	1	1	2	2	0	6	17	-1	0
269	1	高级暴风雪	对全体使用法术攻击	23	6	3	1	1	2	2	0	6	17	-1	0
270	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
271	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
272	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
273	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
274	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
275	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
276	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
277	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
278	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
279	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
280	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
281	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
282	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
283	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
284	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
285	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
286	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
287	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
288	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
289	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
290	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
291	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
