##卡牌进化表														
##[SC]卡牌编号	[SC]套装编号	[SC]进化后编号	[SC]进化需求等级	所需类型	所需卡牌1id	所需卡牌2id	所需卡牌3id	所需卡牌4id	所需卡牌5id	进化后当前等级	进化后技能等级	队长技替换几率	花费金币	花费符石
##index(0)														
int	int	int	int	int	string	string	string	string	string	int	int	int	int	int
48	0	49	25	0	-1	-1	-1	-1	-1	25	1	0	0	0
49	1	50	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
50	3	51	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
51	-1	1050	60	1	50|51	-1	-1	-1	-1	60	0	0	70000	0
52	1	313	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
53	1	315	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
54	1	317	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
55	1	319	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
56	1	321	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
57	1	323	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
58	1	325	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
59	1	369	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
60	1	373	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
61	1	377	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
62	1	381	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
63	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
64	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
65	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
66	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
67	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
68	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
69	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
70	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
71	2	72	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
72	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
73	2	74	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
74	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
75	2	76	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
76	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
77	2	78	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
78	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
79	2	80	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
80	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
81	2	82	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
82	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
83	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
84	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
85	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
86	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
87	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
88	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
89	2	90	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
90	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
91	2	92	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
92	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
93	2	94	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
94	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
95	2	96	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
96	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
97	2	98	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
98	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
99	3	100	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
100	-1	1099	60	1	99|100	-1	-1	-1	-1	60	0	0	50000	0
101	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
102	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
103	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
104	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
105	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
106	2	107	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
107	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
108	2	109	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
109	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
110	2	111	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
111	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
112	2	113	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
113	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
114	3	115	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
115	-1	1114	60	1	114|115	-1	-1	-1	-1	60	0	0	50000	0
116	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
117	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
118	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
119	2	120	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
120	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
121	2	122	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
122	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
123	2	124	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
124	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
125	3	126	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
126	-1	1125	60	1	125|126	-1	-1	-1	-1	60	0	0	50000	0
127	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
128	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
129	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
130	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
131	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
132	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
133	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
134	2	135	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
135	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
136	2	137	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
137	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
138	2	139	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
139	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
140	2	141	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
141	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
142	3	143	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
143	-1	1142	60	1	142|143	-1	-1	-1	-1	60	0	0	50000	0
144	3	145	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
145	-1	1144	60	1	144|145	-1	-1	-1	-1	60	0	0	50000	0
146	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
147	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
148	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
149	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
150	2	151	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
151	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
152	2	153	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
153	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
154	2	155	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
155	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
156	2	157	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
157	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
158	3	159	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
159	-1	1158	60	1	158|159	-1	-1	-1	-1	60	0	0	50000	0
160	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
161	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
162	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
163	2	164	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
164	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
165	2	166	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
166	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
167	2	168	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
168	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
169	2	170	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
170	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
171	3	172	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
172	-1	1171	60	1	171|172	-1	-1	-1	-1	60	0	0	50000	0
173	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
174	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
175	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
176	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
177	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
178	2	179	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
179	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
180	2	181	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
181	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
182	2	183	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
183	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
184	2	185	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
185	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
186	3	187	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
187	-1	1186	60	1	186|187	-1	-1	-1	-1	60	0	0	50000	0
188	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
189	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
190	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
191	2	192	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
192	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
193	2	194	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
194	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
195	2	196	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
196	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
197	2	198	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
198	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
199	3	200	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
200	-1	1199	60	1	199|200	-1	-1	-1	-1	60	0	0	50000	0
201	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
202	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
203	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
204	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
205	2	206	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
206	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
207	3	208	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
208	-1	1207	60	1	207|208	-1	-1	-1	-1	60	0	0	50000	0
209	3	210	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
210	-1	1209	60	1	209|210	-1	-1	-1	-1	60	0	0	50000	0
211	2	212	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
212	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
213	3	214	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
214	-1	1213	60	1	213|214	-1	-1	-1	-1	60	0	0	50000	0
215	2	216	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
216	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
217	3	218	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
218	-1	1217	60	1	217|218	-1	-1	-1	-1	60	0	0	50000	0
219	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
220	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
221	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
222	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
223	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
224	2	225	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
225	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
226	2	227	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
227	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
228	3	229	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
229	-1	1228	60	1	228|229	-1	-1	-1	-1	60	0	0	50000	0
230	3	231	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
231	-1	1230	60	1	230|231	-1	-1	-1	-1	60	0	0	50000	0
232	4	233	75	0	-1	-1	-1	-1	-1	75	1	0	0	0
233	-1	1232	75	1	232|233	-1	-1	-1	-1	75	0	0	500000	0
234	3	235	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
235	-1	1234	60	1	234|235	-1	-1	-1	-1	60	0	0	50000	0
236	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
237	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
238	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
239	2	240	30	0	-1	-1	-1	-1	-1	30	1	0	0	0
240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
241	3	242	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
242	-1	1241	60	1	241|242	-1	-1	-1	-1	60	0	0	50000	0
243	4	244	75	0	-1	-1	-1	-1	-1	75	1	0	0	0
244	-1	1243	75	1	243|244	-1	-1	-1	-1	75	0	0	500000	0
245	3	246	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
246	-1	1245	60	1	245|246	-1	-1	-1	-1	60	0	0	50000	0
247	4	248	75	0	-1	-1	-1	-1	-1	75	1	0	0	0
248	-1	1247	75	1	247|248	-1	-1	-1	-1	75	0	0	500000	0
249	4	250	75	0	-1	-1	-1	-1	-1	75	1	0	0	0
250	-1	1249	75	1	249|250	-1	-1	-1	-1	75	0	0	500000	0
251	4	252	75	0	-1	-1	-1	-1	-1	75	1	0	0	0
252	-1	1251	75	1	251|252	-1	-1	-1	-1	75	0	0	500000	0
253	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
254	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
255	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
256	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
257	3	258	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
258	-1	1257	60	1	257|258	-1	-1	-1	-1	60	0	0	50000	0
259	3	260	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
260	-1	1259	60	1	259|260	-1	-1	-1	-1	60	0	0	50000	0
261	3	262	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
262	-1	1261	60	1	261|262	-1	-1	-1	-1	60	0	0	50000	0
263	3	264	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
264	-1	1263	60	1	263|264	-1	-1	-1	-1	60	0	0	50000	0
265	3	266	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
266	-1	1265	60	1	265|266	-1	-1	-1	-1	60	0	0	50000	0
267	4	268	75	0	-1	-1	-1	-1	-1	75	1	0	0	0
268	-1	1267	75	1	267|268	-1	-1	-1	-1	75	0	0	500000	0
269	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
270	3	271	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
271	-1	1270	60	1	270|271	-1	-1	-1	-1	60	0	0	50000	0
272	3	273	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
273	-1	1272	60	1	272|273	-1	-1	-1	-1	60	0	0	50000	0
274	4	275	75	0	-1	-1	-1	-1	-1	75	1	0	0	0
275	-1	1274	75	1	274|275	-1	-1	-1	-1	75	0	0	500000	0
276	4	277	75	0	-1	-1	-1	-1	-1	75	1	0	0	0
277	-1	1276	75	1	276|277	-1	-1	-1	-1	75	0	0	500000	0
278	4	279	75	0	-1	-1	-1	-1	-1	75	1	0	0	0
279	-1	1278	75	1	278|279	-1	-1	-1	-1	75	0	0	500000	0
280	3	281	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
281	-1	1280	60	1	280|281	-1	-1	-1	-1	60	0	0	50000	0
282	3	283	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
283	-1	1282	60	1	282|283	-1	-1	-1	-1	60	0	0	50000	0
284	4	285	75	0	-1	-1	-1	-1	-1	75	1	0	0	0
285	-1	1284	75	1	284|285	-1	-1	-1	-1	75	0	0	500000	0
286	4	287	75	0	-1	-1	-1	-1	-1	75	1	0	0	0
287	-1	1286	75	1	286|287	-1	-1	-1	-1	75	0	0	500000	0
288	4	289	75	0	-1	-1	-1	-1	-1	75	1	0	0	0
289	-1	1288	75	1	288|289	-1	-1	-1	-1	75	0	0	500000	0
290	3	291	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
291	-1	1290	60	1	290|291	-1	-1	-1	-1	60	0	0	50000	0
292	3	293	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
293	-1	1292	60	1	292|293	-1	-1	-1	-1	60	0	0	50000	0
294	4	295	75	0	-1	-1	-1	-1	-1	75	1	0	0	0
295	-1	1294	75	1	294|295	-1	-1	-1	-1	75	0	0	500000	0
296	3	297	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
297	-1	1296	60	1	296|297	-1	-1	-1	-1	60	0	0	50000	0
298	4	299	75	0	-1	-1	-1	-1	-1	75	1	0	0	0
299	-1	1298	75	1	298|299	-1	-1	-1	-1	75	0	0	500000	0
300	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
301	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
302	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
303	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
304	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
305	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
306	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
307	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
308	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
309	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
310	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
311	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
312	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
313	3	314	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
314	-1	1313	60	1	313|314	-1	-1	-1	-1	60	0	0	70000	0
315	3	316	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
316	-1	1315	60	1	315|316	-1	-1	-1	-1	60	0	0	70000	0
317	3	318	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
318	-1	1317	60	1	317|318	-1	-1	-1	-1	60	0	0	70000	0
319	3	320	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
320	-1	1319	60	1	319|320	-1	-1	-1	-1	60	0	0	70000	0
321	3	322	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
322	-1	1321	60	1	321|322	-1	-1	-1	-1	60	0	0	70000	0
323	3	324	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
324	-1	1323	60	1	323|324	-1	-1	-1	-1	60	0	0	70000	0
325	3	326	60	0	-1	-1	-1	-1	-1	60	1	0	0	0
326	-1	1325	60	1	325|326	-1	-1	-1	-1	60	0	0	70000	0
327	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
328	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0
329	4	330	75	0	-1	-1	-1	-1	-1	75	1	0	0	0
330	-1	1329	75	1	329|330	-1	-1	-1	-1	75	0	0	500000	0
331	4	332	75	0	-1	-1	-1	-1	-1	75	1	0	0	0
332	-1	1331	75	1	331|332	-1	-1	-1	-1	75	0	0	500000	0
333	4	334	75	0	-1	-1	-1	-1	-1	75	1	0	0	0
334	-1	1333	75	1	333|334	-1	-1	-1	-1	75	0	0	500000	0
335	4	336	75	0	-1	-1	-1	-1	-1	75	1	0	0	0
336	-1	1335	75	1	335|336	-1	-1	-1	-1	75	0	0	500000	0
337	4	338	75	0	-1	-1	-1	-1	-1	75	1	0	0	0
338	-1	1337	75	1	337|338	-1	-1	-1	-1	75	0	0	500000	0
339	4	340	75	0	-1	-1	-1	-1	-1	75	1	0	0	0
340	-1	1339	75	1	339|340	-1	-1	-1	-1	75	0	0	500000	0
341	4	342	75	0	-1	-1	-1	-1	-1	75	1	0	0	0
342	-1	1341	75	1	341|342	-1	-1	-1	-1	75	0	0	500000	0
343	4	344	75	0	-1	-1	-1	-1	-1	75	1	0	0	0
344	-1	1343	75	1	343|344	-1	-1	-1	-1	75	0	0	500000	0
345	4	346	75	0	-1	-1	-1	-1	-1	75	1	0	0	0
346	-1	1345	75	1	345|346	-1	-1	-1	-1	75	0	0	500000	0
347	4	348	75	0	-1	-1	-1	-1	-1	75	1	0	0	0
348	-1	1347	75	1	347|348	-1	-1	-1	-1	75	0	0	500000	0
349	4	350	75	0	-1	-1	-1	-1	-1	75	1	0	0	0
350	-1	1349	75	1	349|350	-1	-1	-1	-1	75	0	0	500000	0
351	4	352	75	0	-1	-1	-1	-1	-1	75	1	0	0	0
352	-1	1351	75	1	351|352	-1	-1	-1	-1	75	0	0	500000	0
353	4	354	75	0	-1	-1	-1	-1	-1	75	1	0	0	0
354	-1	1353	75	1	353|354	-1	-1	-1	-1	75	0	0	500000	0
355	4	356	75	0	-1	-1	-1	-1	-1	75	1	0	0	0
356	-1	1355	75	1	355|356	-1	-1	-1	-1	75	0	0	500000	0
357	4	358	75	0	-1	-1	-1	-1	-1	75	1	0	0	0
358	-1	1357	75	1	357|358	-1	-1	-1	-1	75	0	0	500000	0
359	4	360	75	0	-1	-1	-1	-1	-1	75	1	0	0	0
360	-1	1359	75	1	359|360	-1	-1	-1	-1	75	0	0	500000	0
361	4	362	75	0	-1	-1	-1	-1	-1	75	1	0	0	0
362	-1	1361	75	1	361|362	-1	-1	-1	-1	75	0	0	500000	0
