##队长技能表											
##[SC]技能编号	[C]技能名称	[C]技能描述	[SC]影响职业	[S]影响属性类型	[S]影响属性参数	[S]影响属性参数+	[S]影响属性参数++	[S]影响属性参数+++	[S]影响属性参数++++	队长技品级	队长技类型
##index(0)											
int	string	string	string	string	string	string	string	string	string	int	int
60		微量增加全体0	12	0	400	520	640	760	880	1	1
61		少量增加全体0	12	0	600	780	960	1140	1320	2	1
62		中量增加全体0	12	0	800	1040	1280	1520	1760	3	1
63		大量增加全体0	12	0	1000	1300	1600	1900	2200	4	1
64		巨量增加全体0	12	0	1200	1560	1920	2280	2640	5	1
65		微量增加全体0	12	0	400	520	640	760	880	1	1
66		少量增加全体0	12	0	600	780	960	1140	1320	2	1
67		中量增加全体0	12	0	800	1040	1280	1520	1760	3	1
68		大量增加全体0	12	0	1000	1300	1600	1900	2200	4	1
69		巨量增加全体0	12	0	1200	1560	1920	2280	2640	5	1
70		微量增加全体0	12	0	400	520	640	760	880	1	1
71		少量增加全体0	12	0	600	780	960	1140	1320	2	1
72		中量增加全体0	12	0	800	1040	1280	1520	1760	3	1
73		大量增加全体0	12	0	1000	1300	1600	1900	2200	4	1
74		巨量增加全体0	12	0	1200	1560	1920	2280	2640	5	1
75		微量增加全体0	12	0	400	520	640	760	880	1	1
76		少量增加全体0	12	0	600	780	960	1140	1320	2	1
77		中量增加全体0	12	0	800	1040	1280	1520	1760	3	1
78		大量增加全体0	12	0	1000	1300	1600	1900	2200	4	1
79		巨量增加全体0	12	0	1200	1560	1920	2280	2640	5	1
80		微量增加全体0	12	0	400	520	640	760	880	1	1
81		少量增加全体0	12	0	600	780	960	1140	1320	2	1
82		中量增加全体0	12	0	800	1040	1280	1520	1760	3	1
83		大量增加全体0	12	0	1000	1300	1600	1900	2200	4	1
84		巨量增加全体0	12	0	1200	1560	1920	2280	2640	5	1
85		微量增加全体0	12	0	400	520	640	760	880	1	1
86		少量增加全体0	12	0	600	780	960	1140	1320	2	1
87		中量增加全体0	12	0	800	1040	1280	1520	1760	3	1
88		大量增加全体0	12	0	1000	1300	1600	1900	2200	4	1
89		巨量增加全体0	12	0	1200	1560	1920	2280	2640	5	1
90		微量增加全体0	12	0	400	520	640	760	880	1	1
91		少量增加全体0	12	0	600	780	960	1140	1320	2	1
92		中量增加全体0	12	0	800	1040	1280	1520	1760	3	1
93		大量增加全体0	12	0	1000	1300	1600	1900	2200	4	1
94		巨量增加全体0	12	0	1200	1560	1920	2280	2640	5	1
95		微量增加全体0	12	0	400	520	640	760	880	1	1
96		少量增加全体0	12	0	600	780	960	1140	1320	2	1
97		中量增加全体0	12	0	800	1040	1280	1520	1760	3	1
98		大量增加全体0	12	0	1000	1300	1600	1900	2200	4	1
99		巨量增加全体0	12	0	1200	1560	1920	2280	2640	5	1
100	初级战士荣誉	微量增加战士物攻伤害	1	3	360	468	576	684	792	1	1
101	中级战士荣誉	少量增加战士物攻伤害	1	3	540	702	864	1026	1188	2	1
102	高级战士荣誉	中量增加战士物攻伤害	1	3	720	936	1152	1368	1584	3	1
103	大师战士荣誉	大量增加战士物攻伤害	1	3	900	1170	1440	1710	1980	4	1
104	宗师战士荣誉	巨量增加战士物攻伤害	1	3	1080	1404	1728	2052	2376	5	1
105	初级法术增效	微量增加战士法攻伤害	1	4	360	468	576	684	792	1	1
106	中级法术增效	少量增加战士法攻伤害	1	4	540	702	864	1026	1188	2	1
107	高级法术增效	中量增加战士法攻伤害	1	4	720	936	1152	1368	1584	3	1
108	大师法术增效	大量增加战士法攻伤害	1	4	900	1170	1440	1710	1980	4	1
109	宗师法术增效	巨量增加战士法攻伤害	1	4	1080	1404	1728	2052	2376	5	1
110	初级急救术	微量增加战士治疗效果	1	5	360	468	576	684	792	1	1
111	中级急救术	少量增加战士治疗效果	1	5	540	702	864	1026	1188	2	1
112	高级急救术	中量增加战士治疗效果	1	5	720	936	1152	1368	1584	3	1
113	大师急救术	大量增加战士治疗效果	1	5	900	1170	1440	1710	1980	4	1
114	宗师急救术	巨量增加战士治疗效果	1	5	1080	1404	1728	2052	2376	5	1
115	初级狂暴冲刺	微量增加战士暴击几率	1	0	360	468	576	684	792	1	1
116	中级狂暴冲刺	少量增加战士暴击几率	1	0	540	702	864	1026	1188	2	1
117	高级狂暴冲刺	中量增加战士暴击几率	1	0	720	936	1152	1368	1584	3	1
118	大师狂暴冲刺	大量增加战士暴击几率	1	0	900	1170	1440	1710	1980	4	1
119	宗师狂暴冲刺	巨量增加战士暴击几率	1	0	1080	1404	1728	2052	2376	5	1
120	初级精神集中	微量增加战士命中几率	1	1	360	468	576	684	792	1	1
121	中级精神集中	少量增加战士命中几率	1	1	540	702	864	1026	1188	2	1
122	高级精神集中	中量增加战士命中几率	1	1	720	936	1152	1368	1584	3	1
123	大师精神集中	大量增加战士命中几率	1	1	900	1170	1440	1710	1980	4	1
124	宗师精神集中	巨量增加战士命中几率	1	1	1080	1404	1728	2052	2376	5	1
125	初级感应集中	微量增加战士闪避几率	1	2	288	374.4	460.8	547.2	633.6	1	1
126	中级感应集中	少量增加战士闪避几率	1	2	432	561.6	691.2	820.8	950.4	2	1
127	高级感应集中	中量增加战士闪避几率	1	2	576	748.8	921.6	1094.4	1267.2	3	1
128	大师感应集中	大量增加战士闪避几率	1	2	720	936	1152	1368	1584	4	1
129	宗师感应集中	巨量增加战士闪避几率	1	2	864	1123.2	1382.4	1641.6	1900.8	5	1
130	初级力量守护	微量增加战士法抗	1	7	-360	-468	-576	-684	-792	1	1
131	中级力量守护	少量增加战士法抗	1	7	-540	-702	-864	-1026	-1188	2	1
132	高级力量守护	中量增加战士法抗	1	7	-720	-936	-1152	-1368	-1584	3	1
133	大师力量守护	大量增加战士法抗	1	7	-900	-1170	-1440	-1710	-1980	4	1
134	宗师力量守护	巨量增加战士法抗	1	7	-1080	-1404	-1728	-2052	-2376	5	1
135	初级坚韧之盾	微量增加战士物抗	1	6	-360	-468	-576	-684	-792	1	1
136	中级坚韧之盾	少量增加战士物抗	1	6	-540	-702	-864	-1026	-1188	2	1
137	高级坚韧之盾	中量增加战士物抗	1	6	-720	-936	-1152	-1368	-1584	3	1
138	大师坚韧之盾	大量增加战士物抗	1	6	-900	-1170	-1440	-1710	-1980	4	1
139	宗师坚韧之盾	巨量增加战士物抗	1	6	-1080	-1404	-1728	-2052	-2376	5	1
140	初级危机感应	微量增加战士韧性	1	9	360	468	576	684	792	1	1
141	中级危机感应	少量增加战士韧性	1	9	540	702	864	1026	1188	2	1
142	高级危机感应	中量增加战士韧性	1	9	720	936	1152	1368	1584	3	1
143	大师危机感应	大量增加战士韧性	1	9	900	1170	1440	1710	1980	4	1
144	宗师危机感应	巨量增加战士韧性	1	9	1080	1404	1728	2052	2376	5	1
145	初级血之气息	微量增加战士被治疗	1	8	720	936	1152	1368	1584	1	1
146	中级血之气息	少量增加战士被治疗	1	8	1080	1404	1728	2052	2376	2	1
147	高级血之气息	中量增加战士被治疗	1	8	1440	1872	2304	2736	3168	3	1
148	大师血之气息	大量增加战士被治疗	1	8	1800	2340	2880	3420	3960	4	1
149	宗师血之气息	巨量增加战士被治疗	1	8	2160	2808	3456	4104	4752	5	1
150		微量增加战士0	1	0	720	936	1152	1368	1584	1	1
151		少量增加战士0	1	0	1080	1404	1728	2052	2376	2	1
152		中量增加战士0	1	0	1440	1872	2304	2736	3168	3	1
153		大量增加战士0	1	0	1800	2340	2880	3420	3960	4	1
154		巨量增加战士0	1	0	2160	2808	3456	4104	4752	5	1
155		微量增加战士0	1	0	720	936	1152	1368	1584	1	1
156		少量增加战士0	1	0	1080	1404	1728	2052	2376	2	1
157		中量增加战士0	1	0	1440	1872	2304	2736	3168	3	1
158		大量增加战士0	1	0	1800	2340	2880	3420	3960	4	1
159		巨量增加战士0	1	0	2160	2808	3456	4104	4752	5	1
160		微量增加战士0	1	0	720	936	1152	1368	1584	1	1
161		少量增加战士0	1	0	1080	1404	1728	2052	2376	2	1
162		中量增加战士0	1	0	1440	1872	2304	2736	3168	3	1
163		大量增加战士0	1	0	1800	2340	2880	3420	3960	4	1
164		巨量增加战士0	1	0	2160	2808	3456	4104	4752	5	1
165		微量增加战士0	1	0	720	936	1152	1368	1584	1	1
166		少量增加战士0	1	0	1080	1404	1728	2052	2376	2	1
167		中量增加战士0	1	0	1440	1872	2304	2736	3168	3	1
168		大量增加战士0	1	0	1800	2340	2880	3420	3960	4	1
169		巨量增加战士0	1	0	2160	2808	3456	4104	4752	5	1
170		微量增加战士0	1	0	720	936	1152	1368	1584	1	1
171		少量增加战士0	1	0	1080	1404	1728	2052	2376	2	1
172		中量增加战士0	1	0	1440	1872	2304	2736	3168	3	1
173		大量增加战士0	1	0	1800	2340	2880	3420	3960	4	1
174		巨量增加战士0	1	0	2160	2808	3456	4104	4752	5	1
175		微量增加战士0	1	0	720	936	1152	1368	1584	1	1
176		少量增加战士0	1	0	1080	1404	1728	2052	2376	2	1
177		中量增加战士0	1	0	1440	1872	2304	2736	3168	3	1
178		大量增加战士0	1	0	1800	2340	2880	3420	3960	4	1
179		巨量增加战士0	1	0	2160	2808	3456	4104	4752	5	1
180		微量增加战士0	1	0	720	936	1152	1368	1584	1	1
181		少量增加战士0	1	0	1080	1404	1728	2052	2376	2	1
182		中量增加战士0	1	0	1440	1872	2304	2736	3168	3	1
183		大量增加战士0	1	0	1800	2340	2880	3420	3960	4	1
184		巨量增加战士0	1	0	2160	2808	3456	4104	4752	5	1
185		微量增加战士0	1	0	720	936	1152	1368	1584	1	1
186		少量增加战士0	1	0	1080	1404	1728	2052	2376	2	1
187		中量增加战士0	1	0	1440	1872	2304	2736	3168	3	1
188		大量增加战士0	1	0	1800	2340	2880	3420	3960	4	1
189		巨量增加战士0	1	0	2160	2808	3456	4104	4752	5	1
190		微量增加战士0	1	0	720	936	1152	1368	1584	1	1
191		少量增加战士0	1	0	1080	1404	1728	2052	2376	2	1
192		中量增加战士0	1	0	1440	1872	2304	2736	3168	3	1
193		大量增加战士0	1	0	1800	2340	2880	3420	3960	4	1
194		巨量增加战士0	1	0	2160	2808	3456	4104	4752	5	1
195		微量增加战士0	1	0	720	936	1152	1368	1584	1	1
196		少量增加战士0	1	0	1080	1404	1728	2052	2376	2	1
197		中量增加战士0	1	0	1440	1872	2304	2736	3168	3	1
198		大量增加战士0	1	0	1800	2340	2880	3420	3960	4	1
199		巨量增加战士0	1	0	2160	2808	3456	4104	4752	5	1
200	初级制裁之拳	微量增加骑士物攻伤害	2	3	360	468	576	684	792	1	1
201	中级制裁之拳	少量增加骑士物攻伤害	2	3	540	702	864	1026	1188	2	1
202	高级制裁之拳	中量增加骑士物攻伤害	2	3	720	936	1152	1368	1584	3	1
203	大师制裁之拳	大量增加骑士物攻伤害	2	3	900	1170	1440	1710	1980	4	1
204	宗师制裁之拳	巨量增加骑士物攻伤害	2	3	1080	1404	1728	2052	2376	5	1
205	初级守护打击	微量增加骑士法攻伤害	2	4	360	468	576	684	792	1	1
206	中级守护打击	少量增加骑士法攻伤害	2	4	540	702	864	1026	1188	2	1
207	高级守护打击	中量增加骑士法攻伤害	2	4	720	936	1152	1368	1584	3	1
208	大师守护打击	大量增加骑士法攻伤害	2	4	900	1170	1440	1710	1980	4	1
209	宗师守护打击	巨量增加骑士法攻伤害	2	4	1080	1404	1728	2052	2376	5	1
210	初级祝福之光	微量增加骑士治疗效果	2	5	360	468	576	684	792	1	1
211	中级祝福之光	少量增加骑士治疗效果	2	5	540	702	864	1026	1188	2	1
212	高级祝福之光	中量增加骑士治疗效果	2	5	720	936	1152	1368	1584	3	1
213	大师祝福之光	大量增加骑士治疗效果	2	5	900	1170	1440	1710	1980	4	1
214	宗师祝福之光	巨量增加骑士治疗效果	2	5	1080	1404	1728	2052	2376	5	1
215	初级圣洁之火	微量增加骑士暴击几率	2	0	360	468	576	684	792	1	1
216	中级圣洁之火	少量增加骑士暴击几率	2	0	540	702	864	1026	1188	2	1
217	高级圣洁之火	中量增加骑士暴击几率	2	0	720	936	1152	1368	1584	3	1
218	大师圣洁之火	大量增加骑士暴击几率	2	0	900	1170	1440	1710	1980	4	1
219	宗师圣洁之火	巨量增加骑士暴击几率	2	0	1080	1404	1728	2052	2376	5	1
220	初级真实之眼	微量增加骑士命中几率	2	1	360	468	576	684	792	1	1
221	中级真实之眼	少量增加骑士命中几率	2	1	540	702	864	1026	1188	2	1
222	高级真实之眼	中量增加骑士命中几率	2	1	720	936	1152	1368	1584	3	1
223	大师真实之眼	大量增加骑士命中几率	2	1	900	1170	1440	1710	1980	4	1
224	宗师真实之眼	巨量增加骑士命中几率	2	1	1080	1404	1728	2052	2376	5	1
225	初级圣光之速	微量增加骑士闪避几率	2	2	288	374.4	460.8	547.2	633.6	1	1
226	中级圣光之速	少量增加骑士闪避几率	2	2	432	561.6	691.2	820.8	950.4	2	1
227	高级圣光之速	中量增加骑士闪避几率	2	2	576	748.8	921.6	1094.4	1267.2	3	1
228	大师圣光之速	大量增加骑士闪避几率	2	2	720	936	1152	1368	1584	4	1
229	宗师圣光之速	巨量增加骑士闪避几率	2	2	864	1123.2	1382.4	1641.6	1900.8	5	1
230	初级骑士之誓	微量增加骑士法抗	2	7	-360	-468	-576	-684	-792	1	1
231	中级骑士之誓	少量增加骑士法抗	2	7	-540	-702	-864	-1026	-1188	2	1
232	高级骑士之誓	中量增加骑士法抗	2	7	-720	-936	-1152	-1368	-1584	3	1
233	大师骑士之誓	大量增加骑士法抗	2	7	-900	-1170	-1440	-1710	-1980	4	1
234	宗师骑士之誓	巨量增加骑士法抗	2	7	-1080	-1404	-1728	-2052	-2376	5	1
235	初级神圣护盾	微量增加骑士物抗	2	6	-360	-468	-576	-684	-792	1	1
236	中级神圣护盾	少量增加骑士物抗	2	6	-540	-702	-864	-1026	-1188	2	1
237	高级神圣护盾	中量增加骑士物抗	2	6	-720	-936	-1152	-1368	-1584	3	1
238	大师神圣护盾	大量增加骑士物抗	2	6	-900	-1170	-1440	-1710	-1980	4	1
239	宗师神圣护盾	巨量增加骑士物抗	2	6	-1080	-1404	-1728	-2052	-2376	5	1
240	初级神圣洞察	微量增加骑士韧性	2	9	360	468	576	684	792	1	1
241	中级神圣洞察	少量增加骑士韧性	2	9	540	702	864	1026	1188	2	1
242	高级神圣洞察	中量增加骑士韧性	2	9	720	936	1152	1368	1584	3	1
243	大师神圣洞察	大量增加骑士韧性	2	9	900	1170	1440	1710	1980	4	1
244	宗师神圣洞察	巨量增加骑士韧性	2	9	1080	1404	1728	2052	2376	5	1
245	初级圣光灌注	微量增加骑士被治疗	2	8	720	936	1152	1368	1584	1	1
246	中级圣光灌注	少量增加骑士被治疗	2	8	1080	1404	1728	2052	2376	2	1
247	高级圣光灌注	中量增加骑士被治疗	2	8	1440	1872	2304	2736	3168	3	1
248	大师圣光灌注	大量增加骑士被治疗	2	8	1800	2340	2880	3420	3960	4	1
249	宗师圣光灌注	巨量增加骑士被治疗	2	8	2160	2808	3456	4104	4752	5	1
250		微量增加骑士0	2	0	720	936	1152	1368	1584	1	1
251		少量增加骑士0	2	0	1080	1404	1728	2052	2376	2	1
252		中量增加骑士0	2	0	1440	1872	2304	2736	3168	3	1
253		大量增加骑士0	2	0	1800	2340	2880	3420	3960	4	1
254		巨量增加骑士0	2	0	2160	2808	3456	4104	4752	5	1
255		微量增加骑士0	2	0	720	936	1152	1368	1584	1	1
256		少量增加骑士0	2	0	1080	1404	1728	2052	2376	2	1
257		中量增加骑士0	2	0	1440	1872	2304	2736	3168	3	1
258		大量增加骑士0	2	0	1800	2340	2880	3420	3960	4	1
259		巨量增加骑士0	2	0	2160	2808	3456	4104	4752	5	1
260		微量增加骑士0	2	0	720	936	1152	1368	1584	1	1
261		少量增加骑士0	2	0	1080	1404	1728	2052	2376	2	1
262		中量增加骑士0	2	0	1440	1872	2304	2736	3168	3	1
263		大量增加骑士0	2	0	1800	2340	2880	3420	3960	4	1
264		巨量增加骑士0	2	0	2160	2808	3456	4104	4752	5	1
265		微量增加骑士0	2	0	720	936	1152	1368	1584	1	1
266		少量增加骑士0	2	0	1080	1404	1728	2052	2376	2	1
267		中量增加骑士0	2	0	1440	1872	2304	2736	3168	3	1
268		大量增加骑士0	2	0	1800	2340	2880	3420	3960	4	1
269		巨量增加骑士0	2	0	2160	2808	3456	4104	4752	5	1
270		微量增加骑士0	2	0	720	936	1152	1368	1584	1	1
271		少量增加骑士0	2	0	1080	1404	1728	2052	2376	2	1
272		中量增加骑士0	2	0	1440	1872	2304	2736	3168	3	1
273		大量增加骑士0	2	0	1800	2340	2880	3420	3960	4	1
274		巨量增加骑士0	2	0	2160	2808	3456	4104	4752	5	1
275		微量增加骑士0	2	0	720	936	1152	1368	1584	1	1
276		少量增加骑士0	2	0	1080	1404	1728	2052	2376	2	1
277		中量增加骑士0	2	0	1440	1872	2304	2736	3168	3	1
278		大量增加骑士0	2	0	1800	2340	2880	3420	3960	4	1
279		巨量增加骑士0	2	0	2160	2808	3456	4104	4752	5	1
280		微量增加骑士0	2	0	720	936	1152	1368	1584	1	1
281		少量增加骑士0	2	0	1080	1404	1728	2052	2376	2	1
282		中量增加骑士0	2	0	1440	1872	2304	2736	3168	3	1
283		大量增加骑士0	2	0	1800	2340	2880	3420	3960	4	1
284		巨量增加骑士0	2	0	2160	2808	3456	4104	4752	5	1
285		微量增加骑士0	2	0	720	936	1152	1368	1584	1	1
286		少量增加骑士0	2	0	1080	1404	1728	2052	2376	2	1
287		中量增加骑士0	2	0	1440	1872	2304	2736	3168	3	1
288		大量增加骑士0	2	0	1800	2340	2880	3420	3960	4	1
289		巨量增加骑士0	2	0	2160	2808	3456	4104	4752	5	1
290		微量增加骑士0	2	0	720	936	1152	1368	1584	1	1
291		少量增加骑士0	2	0	1080	1404	1728	2052	2376	2	1
292		中量增加骑士0	2	0	1440	1872	2304	2736	3168	3	1
293		大量增加骑士0	2	0	1800	2340	2880	3420	3960	4	1
294		巨量增加骑士0	2	0	2160	2808	3456	4104	4752	5	1
295		微量增加骑士0	2	0	720	936	1152	1368	1584	1	1
296		少量增加骑士0	2	0	1080	1404	1728	2052	2376	2	1
297		中量增加骑士0	2	0	1440	1872	2304	2736	3168	3	1
298		大量增加骑士0	2	0	1800	2340	2880	3420	3960	4	1
299		巨量增加骑士0	2	0	2160	2808	3456	4104	4752	5	1
300	初级英勇图腾	微量增加萨满物攻伤害	3	3	360	468	576	684	792	1	1
301	中级英勇图腾	少量增加萨满物攻伤害	3	3	540	702	864	1026	1188	2	1
302	高级英勇图腾	中量增加萨满物攻伤害	3	3	720	936	1152	1368	1584	3	1
303	大师英勇图腾	大量增加萨满物攻伤害	3	3	900	1170	1440	1710	1980	4	1
304	宗师英勇图腾	巨量增加萨满物攻伤害	3	3	1080	1404	1728	2052	2376	5	1
305	初级魔能掌控	微量增加萨满法攻伤害	3	4	360	468	576	684	792	1	1
306	中级魔能掌控	少量增加萨满法攻伤害	3	4	540	702	864	1026	1188	2	1
307	高级魔能掌控	中量增加萨满法攻伤害	3	4	720	936	1152	1368	1584	3	1
308	大师魔能掌控	大量增加萨满法攻伤害	3	4	900	1170	1440	1710	1980	4	1
309	宗师魔能掌控	巨量增加萨满法攻伤害	3	4	1080	1404	1728	2052	2376	5	1
310	初级治疗之潮	微量增加萨满治疗效果	3	5	360	468	576	684	792	1	1
311	中级治疗之潮	少量增加萨满治疗效果	3	5	540	702	864	1026	1188	2	1
312	高级治疗之潮	中量增加萨满治疗效果	3	5	720	936	1152	1368	1584	3	1
313	大师治疗之潮	大量增加萨满治疗效果	3	5	900	1170	1440	1710	1980	4	1
314	宗师治疗之潮	巨量增加萨满治疗效果	3	5	1080	1404	1728	2052	2376	5	1
315	初级元素冲击	微量增加萨满暴击几率	3	0	360	468	576	684	792	1	1
316	中级元素冲击	少量增加萨满暴击几率	3	0	540	702	864	1026	1188	2	1
317	高级元素冲击	中量增加萨满暴击几率	3	0	720	936	1152	1368	1584	3	1
318	大师元素冲击	大量增加萨满暴击几率	3	0	900	1170	1440	1710	1980	4	1
319	宗师元素冲击	巨量增加萨满暴击几率	3	0	1080	1404	1728	2052	2376	5	1
320	初级图腾指引	微量增加萨满命中几率	3	1	360	468	576	684	792	1	1
321	中级图腾指引	少量增加萨满命中几率	3	1	540	702	864	1026	1188	2	1
322	高级图腾指引	中量增加萨满命中几率	3	1	720	936	1152	1368	1584	3	1
323	大师图腾指引	大量增加萨满命中几率	3	1	900	1170	1440	1710	1980	4	1
324	宗师图腾指引	巨量增加萨满命中几率	3	1	1080	1404	1728	2052	2376	5	1
325	初级风行图腾	微量增加萨满闪避几率	3	2	288	374.4	460.8	547.2	633.6	1	1
326	中级风行图腾	少量增加萨满闪避几率	3	2	432	561.6	691.2	820.8	950.4	2	1
327	高级风行图腾	中量增加萨满闪避几率	3	2	576	748.8	921.6	1094.4	1267.2	3	1
328	大师风行图腾	大量增加萨满闪避几率	3	2	720	936	1152	1368	1584	4	1
329	宗师风行图腾	巨量增加萨满闪避几率	3	2	864	1123.2	1382.4	1641.6	1900.8	5	1
330	初级元素掌握	微量增加萨满法抗	3	7	-360	-468	-576	-684	-792	1	1
331	中级元素掌握	少量增加萨满法抗	3	7	-540	-702	-864	-1026	-1188	2	1
332	高级元素掌握	中量增加萨满法抗	3	7	-720	-936	-1152	-1368	-1584	3	1
333	大师元素掌握	大量增加萨满法抗	3	7	-900	-1170	-1440	-1710	-1980	4	1
334	宗师元素掌握	巨量增加萨满法抗	3	7	-1080	-1404	-1728	-2052	-2376	5	1
335	初级守护图腾	微量增加萨满物抗	3	6	-360	-468	-576	-684	-792	1	1
336	中级守护图腾	少量增加萨满物抗	3	6	-540	-702	-864	-1026	-1188	2	1
337	高级守护图腾	中量增加萨满物抗	3	6	-720	-936	-1152	-1368	-1584	3	1
338	大师守护图腾	大量增加萨满物抗	3	6	-900	-1170	-1440	-1710	-1980	4	1
339	宗师守护图腾	巨量增加萨满物抗	3	6	-1080	-1404	-1728	-2052	-2376	5	1
340	初级特异体质	微量增加萨满韧性	3	9	360	468	576	684	792	1	1
341	中级特异体质	少量增加萨满韧性	3	9	540	702	864	1026	1188	2	1
342	高级特异体质	中量增加萨满韧性	3	9	720	936	1152	1368	1584	3	1
343	大师特异体质	大量增加萨满韧性	3	9	900	1170	1440	1710	1980	4	1
344	宗师特异体质	巨量增加萨满韧性	3	9	1080	1404	1728	2052	2376	5	1
345	初级复生图腾	微量增加萨满被治疗	3	8	720	936	1152	1368	1584	1	1
346	中级复生图腾	少量增加萨满被治疗	3	8	1080	1404	1728	2052	2376	2	1
347	高级复生图腾	中量增加萨满被治疗	3	8	1440	1872	2304	2736	3168	3	1
